record_id,qid,asin,category,source_file,question,question_type,answerability,candidate_answers,golden_answer,evidence_text,evidence_doc_id,selection_method,needs_judge,golden_id
REC_011,265146,B008URGSWO,Home_and_Kitchen,train,"how thick is it, really?  some say 1/2"", some say 2"", 2-1/2"".  does it flatten out?  comparing it to the extra plush, extra thick pad, what would one?",descriptive,0,"[{'text': ""Mine is just shy of a full 2 inches at the plushest points. Mine has not flattened out. All my shoulder pain is gone. My wife no longer has back pain. I didn't want to spend this much but now that I have it, I consider every dime spent well worth it."", 'helpful': 2, 'unhelpful': 0, 'total': 2, 'jeffreys': 0.8333333333333334}, {'text': 'It\'s thin. Maybe 1/2 an inch. It\'s more of a pad than a feather bed. It does make the bed softer but you aren\'t gonna get the ""laying in a cloud"" effect. It\'s comfortable and makes our mattress foam bed feel nice.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}]","Mine is just shy of a full 2 inches at the plushest points. Mine has not flattened out. All my shoulder pain is gone. My wife no longer has back pain. I didn't want to spend this much but now that I have it, I consider every dime spent well worth it.",Wasn't as thick as I'd hoped but it does seem to work very well with the heat issue from my very firm memory foam icomfort mattress. I did end up buying a cheep ($40) 1 1/2 inch mattress pad from Walmart and put this mattress pad on top of that and my bed is much more comfortable now and I don't sweat all night!,KB_00100,grounded_pick,True,G_011
REC_012,307359,B000ST0184,Toys_and_Games,train,how can I make it wireless for my win 8.1 PC?,descriptive,0,"[{'text': ""Interesting question. I don't think there is a direct or easy way to do this. The tankstick is basically a big keyboard. Each button/joystick direction is a keyboard button. Knowing this, it would require some type of modification to convert it to a wireless keyboard. It sounds like a project worth attempting. Sorry, I probably didn't help at all."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""Ain't gonna happen, sadly. This thing requires two USB ports (one for the controls, one for the trackball and its related buttons), and the wires are quite long. Also, something else to note is that the Tankstick functions as a keyboard/mouse instead of a DirectInput or XInput device."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Interesting question. I don't think there is a direct or easy way to do this. The tankstick is basically a big keyboard. Each button/joystick direction is a keyboard button. Knowing this, it would require some type of modification to convert it to a wireless keyboard. It sounds like a project worth attempting. Sorry, I probably didn't help at all.","Overall, this is a pretty nice controller. It has most of the buttons that you will ever need. I would have liked perhaps just one more button in between the Player 1 & Player 2 buttons and calling it or labeling it a &#34;HOME&#34; button.My controller shipped with the Up direction on the Player 1 side being too sensitive. My character in Street Fighter would jump all the time even if you didn't touch the joystick.",KB_00105,grounded_pick,True,G_012
REC_013,311212,B0013ODWSO,Sports_and_Outdoors,train,Does the white scooter have the same specs as the micro black one?,descriptive,0,"[{'text': 'They are the same except color.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I think so.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Seems like the same', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",They are the same except color.,,,jeffreys,True,G_013
REC_014,323990,B005F79BYE,Home_and_Kitchen,train,Does this offer the option of shelving instead of hanging clothes inside the doors?,descriptive,0,"[{'text': ""There is a shelf on top and a hanging bar as well as a drawer on the bottom but no it doesn't come with the option of more shelves"", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""There is a drawer as well as a little bit of space for shelving.  I purchased this because of the hanging option for dresses.  I'm honestly satisfied with this purchase because it's useful for what I bought it for."", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'Only one shelf above the bar for hanging clothes is included. No other options for shelving inside the armoire. The drawer below is pretty deep, though. Good space.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'It only allows for hanging clothes and then one shelf exists at the bottom of the unit.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'No. Mine only came with one shelf piece.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'It comes with 1 shelf that has height options.  so you dont have to use the hanger.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'In the bottom and at the top only. If you want to use it for a tv you could. Thats about how high the shelves on the bottom go.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'There', 'helpful': 0, 'unhelpful': 1, 'total': 1, 'jeffreys': 0.25}, {'text': 'no', 'helpful': 0, 'unhelpful': 1, 'total': 1, 'jeffreys': 0.25}]",There is a shelf on top and a hanging bar as well as a drawer on the bottom but no it doesn't come with the option of more shelves,Exactly what I was looking for ... decent amount of space ... decent price ... assembly took a bit longer than advertised but extra time to get it done exactly as instructed paid off with no hiccups.,KB_00131,grounded_pick,True,G_014
REC_015,373806,B00ATDT83I,Cell_Phones_and_Accessories,train,Hello. I'd like to know if this cell phone works properly in Venezuela for DIGITEL.,descriptive,0,"[{'text': ""I don't have experience with DIGITEL, but if you have a Sim card for Venezuela or if your carrier allows you to roam in Venezuela, it should be fine. I had an issue with my phone, so I would recommend that you try it out for a couple of weeks before going to make sure that there aren't any problems."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'it works very well i would recommend thanks from Bahamas', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Hola Gerardo. Tienes que verificar que en la descripción del articulo diga que trabaja en 3G. Dentro de esas bandas trabajan con Digitel (850, 900, 1900, 2100).  Yo lo tengo con Movilnet y trabaja muy bien en zona de cobertura 3G Venezuela (en el teléfono lo pone en ""H"") que en Amazon indica 2G es decir bandas 850, 900, 1800, 1900. La clave es que para Movistar y Movilnet trabaja con la banda 1800 y para Digitel con la 2100. Saludos', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'si, y funciona con 3G', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","I don't have experience with DIGITEL, but if you have a Sim card for Venezuela or if your carrier allows you to roam in Venezuela, it should be fine. I had an issue with my phone, so I would recommend that you try it out for a couple of weeks before going to make sure that there aren't any problems.","The phone is not user friendly in the sense that there are too many inputs for what you want to do. Something as simple as making a phone call.When you load Skipe and use it, it wants to use Skipe for every call, even local calls. You have to disable the skipe then log back in for when you need it.The phone has too long of a lag between pages and is very frustrating.I might go back to an HTC until Samsung works all the bugs out.ThanksPhil",KB_00135,grounded_pick,True,G_015
REC_016,382025,B00394NT20,Health_and_Personal_Care,train,Is there a warranty?,descriptive,0,"[{'text': 'Yes.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""My wife has been using it for several months, and just loves it, but I don't remember anything about the warranty."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""Honestly, I didn't check at the time I opened it. However, it is extremely sturdy and absolutely the best shower stool I have ever used. None of the drawbacks of other stools I have tried. The swivel works well and can be locked down. It also moves easily and doesn't get dirty or rust."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""You know, if there is, I didn't save the paper work.  It is very sturdy.  Make sure you follow the step by step directions for putting it together."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I am not sure. It must have something at least 90 days. I use mine all the time and nothing has happened.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""I believe it has a one-year warranty.  It is very strudy and solid I wouldn't worry about using it.  I've used mind for over 1 1/2 years without incident."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",Yes.,,,jeffreys,True,G_016
REC_017,392984,B0056FL4FY,Beauty,train,"does not say if its an american or ueropean plug and ive ordered this before and got a ueropean plug, provide necessary info",descriptive,0,"[{'text': 'I got an American plug', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Totally agree! Not to mention it has an American plug in the picture.FALSE Advertisement!!', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",I got an American plug,,,jeffreys,True,G_017
REC_018,427509,B00154MGXY,Home_and_Kitchen,train,Is this item 35.43 inches at the very top or the body of the unit?,descriptive,0,"[{'text': 'The top... The body is about 33', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'Top is 35 1/2"" body is 32 1/2""', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'Top is wider than the body.  35 1/2 "" top and body is 32 1/2"".We find that the top is a great place to story items that don\'t fit in cabinets well.  We have our Food Saver there so that it is out of the way and the extra bags are up there too.  My wife really likes this unit so much that we now have 2 of them.  You have to tweak the doors a bit to get them level, but it is pretty easy.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'The unit is 35.43 inches at the very top of the unit, the body is 32.5 inches', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}]",The top... The body is about 33,"My wife ordered it, It was about two inches to big at the top, becuase of the molding,So it didn't work for what we needed.",KB_00162,grounded_pick,True,G_018
REC_019,475581,B000LQ5XW8,Musical_Instruments,train,"What does ""INTO 1 x 4 OHMS OR 2 x 8 OHMS"" mean?",descriptive,0,"[{'text': ""It's basically saying if you split it and run two channels you will split the power. I run it into a single channel 4x10 cabinet. Plenty loud with that. The lower the ohms the more power directed to the channel."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'On a 4 OHM output amp. You use one 4 Ohm speaker or two 8 OHM speakers. Example: One 8 OHM speaker + One 8 OHM speaker = 4 OHMs.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'This amp drives one 4 ohm cabinet, or two 8 ohm cabinets in series ( which equals 4 ohms total)', 'helpful': 0, 'unhelpful': 1, 'total': 1, 'jeffreys': 0.25}]",It's basically saying if you split it and run two channels you will split the power. I run it into a single channel 4x10 cabinet. Plenty loud with that. The lower the ohms the more power directed to the channel.,this thing is awesome. major output with minimun pricetag. i play punk rock music and this is plenty loud a our shows...,KB_00178,grounded_pick,True,G_019
REC_020,486354,B00C9KUVWQ,Electronics,train,"Hi, I need an extra one for a different room. The picture looks like the one I need, however it only shows the cable to the computer. Does it come with the other cable that goes to the power plug in? Also, what does the info on the back of the adapter say as far as model and or power numbers-is it 19V 3.42A/50-60Hz 2.0A? Thank you.",descriptive,0,"[{'text': ""The adapter does come with the cord to plug into the wall. The cord to the computer is attached to the brick, so the whole thing is in two parts. The input values are 100-240 V/50-60 Hz/1.5 A, output is 19 V/4.74 A, and of course it's 90 W. There used to be a section of the ASUS site where you could check compatibility; you may want to search online for your exact notebook model number and compatible chargers. Hope this helps!"", 'helpful': 3, 'unhelpful': 0, 'total': 3, 'jeffreys': 0.875}, {'text': 'Hi, yes it comes with a power cord.  It is 19V DC, 50-60Hz, and 4.74A.Thanks, PCrush', 'helpful': 1, 'unhelpful': 1, 'total': 2, 'jeffreys': 0.5}]","The adapter does come with the cord to plug into the wall. The cord to the computer is attached to the brick, so the whole thing is in two parts. The input values are 100-240 V/50-60 Hz/1.5 A, output is 19 V/4.74 A, and of course it's 90 W. There used to be a section of the ASUS site where you could check compatibility; you may want to search online for your exact notebook model number and compatible chargers. Hope this helps!","I've been through two power adapters for my Asus N61JQ notebook (thanks to one very enthusiastic puppy), and I had to do a bit of searching to find this one. Asus has apparently discontinued the original adapters in favor of this slim design - which is nicely compact and lightweight. Check out the Asus website for a list of compatible notebooks.",KB_00183,grounded_pick,True,G_020
REC_021,505028,B00E7O357A,Electronics,train,"hi, i have a skoda fabia II and i need to know if this radio is compatible with the sensor parking from factory",descriptive,0,"[{'text': 'Hi ,I really dont know how is work on Skoda because I used on a volkswagen jetta from2008.You can contact the seller and see.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes it is good to be installed only professional', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Hi ,I really dont know how is work on Skoda because I used on a volkswagen jetta from2008.You can contact the seller and see.","So you still can see your phone status and call list in your dashboard control screen, but you need to directly interact with this computer if you want to make phonecall.3. AUX and original iPod connectors do not work any longer. This is another question I asked before I buy and I got position answer, but no. It has a iPod cable, on one end is the 30pin connector, on the other is a round connector like the one we usually used for computer keyboard and mouse.",KB_00189,grounded_pick,True,G_021
REC_022,519572,B0002D4QBE,Health_and_Personal_Care,train,what are the dimensions?,descriptive,0,"[{'text': '12"" round x 14"" + high...adjusts to height you may wish.  I set at 14"" and fits in rear of tub just fine.  Good Luck. I love this stool.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The diameter of the seat is 12 1/2 inches.  The legs form an approximate 14 1/2 inch square on the floor.  From opposite legs, the dimension is approximately 19 inches.  The tallest height when legs are completely extended is 21 inches.  I purchased this shower stool after back surgery and have been completely satisfied with the quality. It is lightweight and easy to move from place to place.  My shower stall is very small (just 32 x 32 inches) and it works in it. Hope this is helpful.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The seat is 12 inches across it.  I believe it adjusts from 14 inches tall to 21 inches tall.  I have mine at about 17 inches tall.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The seat is12inches round. The legs are adjustable from 14 inches up to 21 inches.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Amazon says ""Product Dimensions: 10 x 12.5 x 20 inches"" so you can make it stand about 20 inches high. The height is adjustable.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","12"" round x 14"" + high...adjusts to height you may wish.  I set at 14"" and fits in rear of tub just fine.  Good Luck. I love this stool.",i found this stool to be just the right height and size for a tub enclosed shower. It is constructed of top quality material and is very stable [I'm 5ft 8in and 150 lbs].,KB_00204,grounded_pick,True,G_022
REC_023,529460,B0056XU5XS,Health_and_Personal_Care,train,Why don't any of the photos show the nutritional label so that you can read this important information?,descriptive,0,"[{'text': 'L-leucine 3000mgL-valine 2000mgL-isoleucine 1000mgThis product was produced in a facility that also process ingredients containing milk,egg,soybeans,sellfish,fish,tree nuts,wheat and peanuts. Thats the allergen warning written on the bottle.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""ITa pretty simple. 3000mg l-leucine, 2000mg l-valine, 1000mg l-isoleucine, the 3 bcaa's. Serving size is 8"", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""I'm really  not sure...but I Googled  that part and was able to read it...but if u like...I can take photos  of it for u and email them to you...my email is ozromero@yahoo.com ok....I highly recommend this product  if u workout a lot...especially if trying to build muscle. ..if the 3 months I been taking it I noticed muscle growth and definition"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","L-leucine 3000mgL-valine 2000mgL-isoleucine 1000mgThis product was produced in a facility that also process ingredients containing milk,egg,soybeans,sellfish,fish,tree nuts,wheat and peanuts. Thats the allergen warning written on the bottle.",,,jeffreys,True,G_023
REC_024,546474,B005MQRAXM,Baby,train,"how is the seat fabric?  we have a britax, and my son sweats so much when in it.",descriptive,0,"[{'text': ""Our son sweat a lot in his Britax B-Safe infant seat, but we have had this seat for about 9 months and haven't noticed any issues."", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""It depends on the material. they have 3-4 different types. I've had the Storm and the Nitro, the nitro was a mesh material. The storm is more like soft cotton. Not much sweat in either but mine sweat so easily."", 'helpful': 3, 'unhelpful': 1, 'total': 4, 'jeffreys': 0.7}]","Our son sweat a lot in his Britax B-Safe infant seat, but we have had this seat for about 9 months and haven't noticed any issues.",,,jeffreys,True,G_024
REC_025,612780,B007W69P7E,Automotive,train,"It sounds like this will fit a 2013 4Runner, but does it void the warranty?  It shouldn't, as it's a Toyota part.  Also what is the HP increase?",descriptive,0,"[{'text': 'No, this only applies to the 2010-2011 4Runner V6 & 2010-2011 FJ Cruiser V6', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Your warranty will be fine. Helps breath a bit better. Will add some motor noise as well. I saw maybe a mile increase at most.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","No, this only applies to the 2010-2011 4Runner V6 & 2010-2011 FJ Cruiser V6",,,jeffreys,True,G_025
REC_026,626205,B005G59WP8,Musical_Instruments,train,Is the brain capable of reproducing different stick velocities (Dynamics) or is the same volume produced no matter how hard you hit pads?,descriptive,0,"[{'text': 'I personally have never tried this, but, according to the user manual, you can set the brain to have dynamic response to the drum sticks.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""it's pretty close to a reptilian brain that is inexpensive. The volume is pretty much the same no matter how hard you hit it. If you're looking for that kind of dynamic velocity you really need a more expensive kit or at least replace the brain with a better one."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""It's the same sound no matter how hard you hit it."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""The dynamics are quite good. I haven't had to adjust them at all, but you can. If you are a drummer already, you can adapt to these very easily. I'm getting a 300 watt amp for them and totally trust them for gigs I'm doing next month. If others are having issues with velocity sensitivity, I can't comment on that. My set works great. I've been drumming for over 40 years. This set does a great job for me. Espescially 3 and 27."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","I personally have never tried this, but, according to the user manual, you can set the brain to have dynamic response to the drum sticks.","At  this price point, though, it is an incredible value and you can upgrade the brain when you have the money to do so. I'm really enjoying this set! I've played the $5,000  Roland V Drums. They are fantastic, indeed. But don't let this unit's low price fool you into thinking this particular set is a toy. It is not. For this price point, this is a high performance, solid electronic set.",KB_00230,grounded_pick,True,G_026
