chunk_id,doc_id,record_id,asin,category,text,n_words,parent_id,parent_text
CHILD_000017,KB_00017,REC_002,B0000E2PBX,Health_and_Personal_Care,I wish I had read the reviews before I purchased this item. It smells and leaves a weird taste in your mouth. It did help breathing but after 8 days i developed a very painful sore throat. I started to suspect the toxic smell and the vapors I was inhaling and quit using it immediately. I cut the mouthpiece off and trying to fix it so I can use it as the time has passed for me to return it. Don't use it with the mouthpiece as it may be toxic.,91,KB_00017,I wish I had read the reviews before I purchased this item. It smells and leaves a weird taste in your mouth. It did help breathing but after 8 days i developed a very painful sore throat. I started to suspect the toxic smell and the vapors I was inhaling and quit using it immediately. I cut the mouthpiece off and trying to fix it so I can use it as the time has passed for me to return it. Don't use it with the mouthpiece as it may be toxic.
CHILD_000018,KB_00018,REC_002,B0000E2PBX,Health_and_Personal_Care,I don't want to find out there's a recall and the fumes it gives off actually damages lungs. Makes me wonder what type of plastic is used. I really like the compact design so I will air it out for a while and hope that I can use it later.,50,KB_00018,I don't want to find out there's a recall and the fumes it gives off actually damages lungs. Makes me wonder what type of plastic is used. I really like the compact design so I will air it out for a while and hope that I can use it later.
CHILD_000019,KB_00019,REC_002,B0000E2PBX,Health_and_Personal_Care,I had heard about this method of exercising the lungs and have to say I am very impressed with the simplicity and yet the exceptional results in ony a few days. Amazing.Since we receive about 90% of our energy from oxygen this is much more valuable to humans than most would believe.Thanks,52,KB_00019,I had heard about this method of exercising the lungs and have to say I am very impressed with the simplicity and yet the exceptional results in ony a few days. Amazing.Since we receive about 90% of our energy from oxygen this is much more valuable to humans than most would believe.Thanks
CHILD_000020,KB_00020,REC_002,B0000E2PBX,Health_and_Personal_Care,This item is worth the price. I had a sever bought of bronchitis and it has taken me forever to get my breath back . This item really gives your lungs a workout. I'm already starting to see some improvement.,40,KB_00020,This item is worth the price. I had a sever bought of bronchitis and it has taken me forever to get my breath back . This item really gives your lungs a workout. I'm already starting to see some improvement.
CHILD_000021,KB_00021,REC_003,B004XMVZVY,Toys_and_Games,when you throw at your friend you will hear the football whistling. light and durable. mine is already starting to come apart at the wings because hit the ground so much. but will not waist your money fun to play with.,41,KB_00021,when you throw at your friend you will hear the football whistling. light and durable. mine is already starting to come apart at the wings because hit the ground so much. but will not waist your money fun to play with.
CHILD_000022,KB_00022,REC_003,B004XMVZVY,Toys_and_Games,the kids love this thing. it really helps them figure out throwing form and it whistles. good size for kids and adults,22,KB_00022,the kids love this thing. it really helps them figure out throwing form and it whistles. good size for kids and adults
CHILD_000023,KB_00023,REC_003,B004XMVZVY,Toys_and_Games,the football can throw really far but it has a very hard nose and hurts to catch it when it is thrown hard at all.,25,KB_00023,the football can throw really far but it has a very hard nose and hurts to catch it when it is thrown hard at all.
CHILD_000024,KB_00024,REC_003,B004XMVZVY,Toys_and_Games,"it was a gift for someone else, he liked it. i think if the company makes them a littel bigger, closer to a regular size football the bigger kids can also enjoythem",32,KB_00024,"it was a gift for someone else, he liked it. i think if the company makes them a littel bigger, closer to a regular size football the bigger kids can also enjoythem"
CHILD_000025,KB_00025,REC_003,B004XMVZVY,Toys_and_Games,"Who doesn't like to easily throw _anything_ 70+ yards! I've had a few of these over the years, and they keep getting better. Surprisingly durable. Anyone can pick it up and throw it much, much farther than they think. Easily. The whistling effect only makes it better, and quite frankly, makes it easier to hone in on to catch! Just as a heads up--the Nerf website says the MSRP is NINE BUCKS!",72,KB_00025,"Who doesn't like to easily throw _anything_ 70+ yards! I've had a few of these over the years, and they keep getting better. Surprisingly durable. Anyone can pick it up and throw it much, much farther than they think. Easily. The whistling effect only makes it better, and quite frankly, makes it easier to hone in on to catch! Just as a heads up--the Nerf website says the MSRP is NINE BUCKS!"
CHILD_000026,KB_00026,REC_003,B004XMVZVY,Toys_and_Games,"We bought this to replace a previous Nerf Howler that had finally worn out. We bring this on vacation with us to the beach everytime we go. Not sure if it is meant for the water, but it seems to work great in the ocean or a lake. It is much smaller than a football and small children can throw it easily and far. Also works well in the wind and much easier to control than a frisbee on a crowded beach.",82,KB_00026,"We bought this to replace a previous Nerf Howler that had finally worn out. We bring this on vacation with us to the beach everytime we go. Not sure if it is meant for the water, but it seems to work great in the ocean or a lake. It is much smaller than a football and small children can throw it easily and far. Also works well in the wind and much easier to control than a frisbee on a crowded beach."
CHILD_000027,KB_00027,REC_003,B004XMVZVY,Toys_and_Games,"Was a great overall toy to play with, very fun but I wish the black part on the back was a little more durable, mine ripped and I had to glue it back with super glue, great overall toy though.",40,KB_00027,"Was a great overall toy to play with, very fun but I wish the black part on the back was a little more durable, mine ripped and I had to glue it back with super glue, great overall toy though."
CHILD_000028,KB_00028,REC_003,B004XMVZVY,Toys_and_Games,This was great for my son for running around and he used it like a rocket ship rather than to play catch. He loves it.,25,KB_00028,This was great for my son for running around and he used it like a rocket ship rather than to play catch. He loves it.
CHILD_000029,KB_00029,REC_003,B004XMVZVY,Toys_and_Games,This toy is great and I highly recommend it.,9,KB_00029,This toy is great and I highly recommend it.
CHILD_000030,KB_00030,REC_003,B004XMVZVY,Toys_and_Games,This made playing football on a 1/4 mile street WAY more fun. Not everyone can throw a football. I've never met anyone who can't throw one of these. When I had one as a kid it was called a vortex. Everyone had one and everyone loved em.I purchased this for a Non-Profits Toy Shop. Next year I plan on buying a case or 2. Gotta bring these back!,68,KB_00030,This made playing football on a 1/4 mile street WAY more fun. Not everyone can throw a football. I've never met anyone who can't throw one of these. When I had one as a kid it was called a vortex. Everyone had one and everyone loved em.I purchased this for a Non-Profits Toy Shop. Next year I plan on buying a case or 2. Gotta bring these back!
CHILD_000031,KB_00031,REC_004,B0010WP46M,Electronics,"I got this frame for free, so I can't complain about the price. Now that I have it, I know that I wouldn't buy it.The remote is cheaply constructed and the battery doesn't sit well in it. To make it work I have to not only squeeze the right button, but squeeze the battery compartment to ensure a contact. Even then, it doesn't always work.Occasionally the frame forgets that I have a USB drive in it and starts to cycle through the stock photos it came with.",87,KB_00031,"I got this frame for free, so I can't complain about the price. Now that I have it, I know that I wouldn't buy it.The remote is cheaply constructed and the battery doesn't sit well in it. To make it work I have to not only squeeze the right button, but squeeze the battery compartment to ensure a contact. Even then, it doesn't always work.Occasionally the frame forgets that I have a USB drive in it and starts to cycle through the stock photos it came with."
CHILD_000032,KB_00032,REC_004,B0010WP46M,Electronics,"I spent a great deal of time on Amazon's website to look for digital photo frames. My requirements, were crisp picture, 7 inch screen, international power supply (110-220V), MP3 music playing during picture slideshow and below $70 USD. The Axion-9702 does it all. It came in a nice box (good gift), quality of product was great, and most important good decent pictures. The product is made in China but show me one that is not.",75,KB_00032,"I spent a great deal of time on Amazon's website to look for digital photo frames. My requirements, were crisp picture, 7 inch screen, international power supply (110-220V), MP3 music playing during picture slideshow and below $70 USD. The Axion-9702 does it all. It came in a nice box (good gift), quality of product was great, and most important good decent pictures. The product is made in China but show me one that is not."
CHILD_000033,KB_00033,REC_004,B0010WP46M,Electronics,"I made sure that it was not, it was planted very firmly onto my desk. But one day I came to work and my co-worker said that it just went out. I know it is my backlight because I can still see the photo's scroll across but they are VERY dark I can barely see it. I would return it but 1. my husband bought it and 2. I've already had it for a little over a month now and you cannot return it after so long.",87,KB_00033,"I made sure that it was not, it was planted very firmly onto my desk. But one day I came to work and my co-worker said that it just went out. I know it is my backlight because I can still see the photo's scroll across but they are VERY dark I can barely see it. I would return it but 1. my husband bought it and 2. I've already had it for a little over a month now and you cannot return it after so long."
CHILD_000034,KB_00034,REC_004,B0010WP46M,Electronics,Got it as a gift - excellent purchase!Love all the features too...you get to add music to each picture if you want :-),23,KB_00034,Got it as a gift - excellent purchase!Love all the features too...you get to add music to each picture if you want :-)
CHILD_000035,KB_00035,REC_004,B0010WP46M,Electronics,Most users in the reviews seem to be pretty much in the know of what they are doing and I trust their opinions on the CONS of this device. I'd strongly recommend taking the time and purchase one at WalMart.,40,KB_00035,Most users in the reviews seem to be pretty much in the know of what they are doing and I trust their opinions on the CONS of this device. I'd strongly recommend taking the time and purchase one at WalMart.
CHILD_000036,KB_00036,REC_004,B0010WP46M,Electronics,I bought this as a Christmas gift and it never worked at all. Would not even power on. Very sad and embarrassing. I wish I had spent the money on a more reliable name brand.,35,KB_00036,I bought this as a Christmas gift and it never worked at all. Would not even power on. Very sad and embarrassing. I wish I had spent the money on a more reliable name brand.
CHILD_000037,KB_00037,REC_004,B0010WP46M,Electronics,"The Axion 7"" Digital Picture Frame is a real deal if you consider what you are getting for the money:* Good Size Display* Fairly Clear Display* MP3 Support (works well!",30,KB_00037,"The Axion 7"" Digital Picture Frame is a real deal if you consider what you are getting for the money:* Good Size Display* Fairly Clear Display* MP3 Support (works well!"
CHILD_000038,KB_00038,REC_004,B0010WP46M,Electronics,"At first I was quite disappointed with the image quality, but after comparing it with more expensive digital picture frames, i have concluded that this is  good value for the money. The remote is handy and it works quite well.",40,KB_00038,"At first I was quite disappointed with the image quality, but after comparing it with more expensive digital picture frames, i have concluded that this is  good value for the money. The remote is handy and it works quite well."
CHILD_000039,KB_00039,REC_004,B0010WP46M,Electronics,"Bought this for a gift...it worked pretty well right out of the box. The resolution isn't excellent, and the navigation's a little rough, but it does come with a remote. All in all a stylish frame for a cheap price so it's worth what you pay for it and not much more...",52,KB_00039,"Bought this for a gift...it worked pretty well right out of the box. The resolution isn't excellent, and the navigation's a little rough, but it does come with a remote. All in all a stylish frame for a cheap price so it's worth what you pay for it and not much more..."
CHILD_000040,KB_00040,REC_004,B0010WP46M,Electronics,And also comes with a remote and extra ports compatible with many digital cameras as well as the trusty USB port that I mentioned above. All-in-all... This is a great product and I would recommend it to anyone. 5 Stars! !,41,KB_00040,And also comes with a remote and extra ports compatible with many digital cameras as well as the trusty USB port that I mentioned above. All-in-all... This is a great product and I would recommend it to anyone. 5 Stars! !
CHILD_000041,KB_00041,REC_005,B0012YKLSE,Home_and_Kitchen,I should have read the reviews.This product does not do a very good job of protecting your sink because the silverware easily falls between the slots and this item is very flimsy.,32,KB_00041,I should have read the reviews.This product does not do a very good job of protecting your sink because the silverware easily falls between the slots and this item is very flimsy.
CHILD_000042,KB_00042,REC_005,B0012YKLSE,Home_and_Kitchen,"this is a simple sink rack that is fully functional, easy to clean and an excellent value. While there are heavier gauge products available, this does the trick for us.",30,KB_00042,"this is a simple sink rack that is fully functional, easy to clean and an excellent value. While there are heavier gauge products available, this does the trick for us."
CHILD_000043,KB_00043,REC_005,B0012YKLSE,Home_and_Kitchen,"thanks for an affordable, great quality product + fast shipping!",10,KB_00043,"thanks for an affordable, great quality product + fast shipping!"
CHILD_000044,KB_00044,REC_005,B0012YKLSE,Home_and_Kitchen,"one of the welds broke on this sink protector less than a month after i bought it. sadly, it seems to be the only one out there that fits my particular sink (a large, single bowl elkay model). it was cheap - but you get what you pay for, i guess.",51,KB_00044,"one of the welds broke on this sink protector less than a month after i bought it. sadly, it seems to be the only one out there that fits my particular sink (a large, single bowl elkay model). it was cheap - but you get what you pay for, i guess."
CHILD_000045,KB_00045,REC_005,B0012YKLSE,Home_and_Kitchen,"it fit my sink perfectly, looks great, but most importantly it can withstand tons of weight without breaking. i have a 1-piece rectangular deep sink, therefore, i can fit way more dishes in my sink than a regular 2-part sink. i had my sink full to the brim (with pots in there too) and this guy here, held up really well. no problems with it breaking.",66,KB_00045,"it fit my sink perfectly, looks great, but most importantly it can withstand tons of weight without breaking. i have a 1-piece rectangular deep sink, therefore, i can fit way more dishes in my sink than a regular 2-part sink. i had my sink full to the brim (with pots in there too) and this guy here, held up really well. no problems with it breaking."
CHILD_000046,KB_00046,REC_005,B0012YKLSE,Home_and_Kitchen,i was glad to find this extra large sink protector for use in our new kitchen. It protects both the sink and the dishes in our new sink that is more than 25 inches wide. The unit is sturdy and easy to keep clean.,44,KB_00046,i was glad to find this extra large sink protector for use in our new kitchen. It protects both the sink and the dishes in our new sink that is more than 25 inches wide. The unit is sturdy and easy to keep clean.
CHILD_000047,KB_00047,REC_005,B0012YKLSE,Home_and_Kitchen,"i replaced a simplehuman rubber mat that had gotten disgustingly moldy with this. was a little concerned with the reviews about it breaking, but ive had mine for over a year now and have had absolutely no problems with it. fits nicely into the oversized sink in the old house that im renting. doesnt scratch up the sink since the feet are covered. looks clean and doesnt hide any gunk, easy to scrub, and has held up to me putting an assortment of pots and pans on top of it.",90,KB_00047,"i replaced a simplehuman rubber mat that had gotten disgustingly moldy with this. was a little concerned with the reviews about it breaking, but ive had mine for over a year now and have had absolutely no problems with it. fits nicely into the oversized sink in the old house that im renting. doesnt scratch up the sink since the feet are covered. looks clean and doesnt hide any gunk, easy to scrub, and has held up to me putting an assortment of pots and pans on top of it."
CHILD_000048,KB_00048,REC_005,B0012YKLSE,Home_and_Kitchen,[Update 1/2011 - Noticed being sold by a different company now.],11,KB_00048,[Update 1/2011 - Noticed being sold by a different company now.]
CHILD_000049,KB_00049,REC_005,B0012YKLSE,Home_and_Kitchen,Your product works perfect for my large sink. Thank you for selling this larger size on amazon as not found locally,21,KB_00049,Your product works perfect for my large sink. Thank you for selling this larger size on amazon as not found locally
CHILD_000050,KB_00050,REC_005,B0012YKLSE,Home_and_Kitchen,"We love this product. We bought our first one three years ago and it has lasted this entire time without any problems or issues. We are ordering another one while they're still available, not because the one we have needs replacing. Now that we know they last for a very long time we want to make sure we have a replacement on hand as this was the only one we could find that was big enough for our sink! LOVE it!",81,KB_00050,"We love this product. We bought our first one three years ago and it has lasted this entire time without any problems or issues. We are ordering another one while they're still available, not because the one we have needs replacing. Now that we know they last for a very long time we want to make sure we have a replacement on hand as this was the only one we could find that was big enough for our sink! LOVE it!"
CHILD_000051,KB_00051,REC_006,B004OFOT72,Sports_and_Outdoors,"Also, the firing mechanism jammed. So, even if you could get the string back to load it, the firing mechanism is jammed and won't take it. My son was devastated. Looking for a new one now.",36,KB_00051,"Also, the firing mechanism jammed. So, even if you could get the string back to load it, the firing mechanism is jammed and won't take it. My son was devastated. Looking for a new one now."
CHILD_000052,KB_00052,REC_006,B004OFOT72,Sports_and_Outdoors,Additional issue is serious safety concern regarding retension of cocking string at rear of metal trigger housing-there is not one on the xbow! A quick fix would be to file a groove at the rear of this metal housing OR do as I did a buy a longer cocking string and load from the shoulder plate of the stock. The scope had to be replaced as it could not be sighted-in to hold any sort of consistent shooting pattern.,79,KB_00052,Additional issue is serious safety concern regarding retension of cocking string at rear of metal trigger housing-there is not one on the xbow! A quick fix would be to file a groove at the rear of this metal housing OR do as I did a buy a longer cocking string and load from the shoulder plate of the stock. The scope had to be replaced as it could not be sighted-in to hold any sort of consistent shooting pattern.
CHILD_000053,KB_00053,REC_006,B004OFOT72,Sports_and_Outdoors,Just what my son wanted. We have been looking for a bow for a while and this one was a great value and great quality.,25,KB_00053,Just what my son wanted. We have been looking for a bow for a while and this one was a great value and great quality.
CHILD_000054,KB_00054,REC_006,B004OFOT72,Sports_and_Outdoors,"I would have given this 5 star if it wasn't for the instructions, someone that doesn't know anything about crossbows might need assistance assembling it.",25,KB_00054,"I would have given this 5 star if it wasn't for the instructions, someone that doesn't know anything about crossbows might need assistance assembling it."
CHILD_000055,KB_00055,REC_006,B004OFOT72,Sports_and_Outdoors,Seems good. scope is small and for air rifles. It isnt the camo one it the picture at all. It is wood and black metal but seems sturdy.,28,KB_00055,Seems good. scope is small and for air rifles. It isnt the camo one it the picture at all. It is wood and black metal but seems sturdy.
CHILD_000056,KB_00056,REC_006,B004OFOT72,Sports_and_Outdoors,"She is in the process of purchasing a new string (100lbs).Another issue was the scope. It came in the shipping box along with the box that the bow was in. It does not have any instructions on how to put it on, nor does it come with any tools to do so.",52,KB_00056,"She is in the process of purchasing a new string (100lbs).Another issue was the scope. It came in the shipping box along with the box that the bow was in. It does not have any instructions on how to put it on, nor does it come with any tools to do so."
CHILD_000057,KB_00057,REC_006,B004OFOT72,Sports_and_Outdoors,Love the crossbow! Came as advertised everything it said it would come with was there and nicely packaged. It will definitely take down a deer and you can't beat the craftsmanship of the bow for the price. Very pleased with it overall. Super easy to put together and string and it is for sure 150lb draw. I ordered it and paid a grand total of $111.99 (cost with 1-3 day expedited shipping) and received it 2 days after placing my order.,81,KB_00057,Love the crossbow! Came as advertised everything it said it would come with was there and nicely packaged. It will definitely take down a deer and you can't beat the craftsmanship of the bow for the price. Very pleased with it overall. Super easy to put together and string and it is for sure 150lb draw. I ordered it and paid a grand total of $111.99 (cost with 1-3 day expedited shipping) and received it 2 days after placing my order.
CHILD_000058,KB_00058,REC_006,B004OFOT72,Sports_and_Outdoors,I bought the crossbow for my husband for a surprise for hunting this year it came in early packed very good. It didn't have very good instructions on how to assemble but it was easy to figure out. It was sent with a scope but my husband didn't put it on it because you wouldn't have good vision through it later in the evening.,64,KB_00058,I bought the crossbow for my husband for a surprise for hunting this year it came in early packed very good. It didn't have very good instructions on how to assemble but it was easy to figure out. It was sent with a scope but my husband didn't put it on it because you wouldn't have good vision through it later in the evening.
CHILD_000059,KB_00059,REC_006,B004OFOT72,Sports_and_Outdoors,"I purchased the 150 Lbs Camo Crossbow with Scope and Arrows for my husband for hunting season. He loves it and it works great! It was a great buy for the price and it came with some arrows. The only negative feedback was that the crossbow string was pretty difficult to get on, but other than that, we have no complaints about this crossbow!",64,KB_00059,"I purchased the 150 Lbs Camo Crossbow with Scope and Arrows for my husband for hunting season. He loves it and it works great! It was a great buy for the price and it came with some arrows. The only negative feedback was that the crossbow string was pretty difficult to get on, but other than that, we have no complaints about this crossbow!"
CHILD_000060,KB_00060,REC_006,B004OFOT72,Sports_and_Outdoors,"good starter crossbow for target practice/sport/small game, not sure if it will do good for large game hunting?? must stock up on bolts and strings  also....not a bad investment tool is a Crossbow Double Handle Cocking Device",37,KB_00060,"good starter crossbow for target practice/sport/small game, not sure if it will do good for large game hunting?? must stock up on bolts and strings  also....not a bad investment tool is a Crossbow Double Handle Cocking Device"
CHILD_000061,KB_00061,REC_007,B005XUNG5I,Health_and_Personal_Care,It is ok but if it was electric it would of been better. To me it could have more power,20,KB_00061,It is ok but if it was electric it would of been better. To me it could have more power
CHILD_000062,KB_00062,REC_007,B005XUNG5I,Health_and_Personal_Care,Needs more power I find the engine does not have enough grunt for my liking.,15,KB_00062,Needs more power I find the engine does not have enough grunt for my liking.
CHILD_000063,KB_00063,REC_007,B005XUNG5I,Health_and_Personal_Care,My feet get calluses that crack and hurt. This thing sands them down in no time. Has good power and so far it's great!,24,KB_00063,My feet get calluses that crack and hurt. This thing sands them down in no time. Has good power and so far it's great!
CHILD_000064,KB_00064,REC_007,B005XUNG5I,Health_and_Personal_Care,I was disappointed with this. Doesn't have enough power or battery life. I do however like being able to rinse the cylinder when needed.,24,KB_00064,I was disappointed with this. Doesn't have enough power or battery life. I do however like being able to rinse the cylinder when needed.
CHILD_000065,KB_00065,REC_007,B005XUNG5I,Health_and_Personal_Care,This workers wonders. The batteries last and it has power. Makes my heels feel so soft. I can wear saddles again and do not need to smoother my heels in Vaseline.,31,KB_00065,This workers wonders. The batteries last and it has power. Makes my heels feel so soft. I can wear saddles again and do not need to smoother my heels in Vaseline.
CHILD_000066,KB_00066,REC_007,B005XUNG5I,Health_and_Personal_Care,"This product works well overall and the fact that it doesnt have blades makes it a lot safer than other products out there.However it is a little short on power, could be stronger",33,KB_00066,"This product works well overall and the fact that it doesnt have blades makes it a lot safer than other products out there.However it is a little short on power, could be stronger"
CHILD_000067,KB_00067,REC_007,B005XUNG5I,Health_and_Personal_Care,At this point I wish I'd have paid the extra to get one with a power cord.Please note that the replacement cartridges are NOT cheap but the durability seems good.,30,KB_00067,At this point I wish I'd have paid the extra to get one with a power cord.Please note that the replacement cartridges are NOT cheap but the durability seems good.
CHILD_000068,KB_00068,REC_007,B005XUNG5I,Health_and_Personal_Care,"Works great, smart design, easy to clean and seems rugged to last. Glad it doesn't have more grinding power; it would be too much against my skin. It seems to do its work fast all the same. Already seeing huge results. Very happy with the product and my purchase.",49,KB_00068,"Works great, smart design, easy to clean and seems rugged to last. Glad it doesn't have more grinding power; it would be too much against my skin. It seems to do its work fast all the same. Already seeing huge results. Very happy with the product and my purchase."
CHILD_000069,KB_00069,REC_007,B005XUNG5I,Health_and_Personal_Care,"It works great on my scaly heels. It has enough power to do the job and about once every month or two I can quickly and easily get rid of my scaly, cracked looking heels. This really works good. So glad I bought it.",44,KB_00069,"It works great on my scaly heels. It has enough power to do the job and about once every month or two I can quickly and easily get rid of my scaly, cracked looking heels. This really works good. So glad I bought it."
