chunk_id,doc_id,record_id,asin,category,text,n_words
PASS_000011,KB_00011,REC_002,B008N7CCJY,Electronics,Works great! Works with android phones well which is what both my fiance and I have. Easy to use too.,20
PASS_000012,KB_00012,REC_002,B008N7CCJY,Electronics,I use this in my car all of the time when I'm waiting in my car for someone or when I am driving. I love it a lot I definitely recommend!,31
PASS_000013,KB_00013,REC_002,B008N7CCJY,Electronics,"Easy to use, good for the price. I use it everyday in my car and the sound quality isn't bad at all. I'm actually very happy with it. I've bought 40$ transmitters that did the same as this.",38
PASS_000014,KB_00014,REC_002,B008N7CCJY,Electronics,This transmitter works great . . I love it . I can now use my phone in the car . The only couple of problems is that of course there's a little bit of static depending where your at but over all a great product,45
PASS_000015,KB_00015,REC_002,B008N7CCJY,Electronics,"I just got this for my wife's car so we could listen to music from our phones. We used to use a tape deck adapter but the tape deck in her car just stopped working, so I got this.",39
PASS_000016,KB_00016,REC_002,B008N7CCJY,Electronics,"I think it fits the bill perfectly. It does exactly as it describes. It transfer music or recordings from your mps player, ipad, phone, etc. to your car speakers. Pick a channel that works and out comes the sound. Easy to use with little to no set up. Perfect for those of us that have a car in the collection that pre-dates MP3 audio insert on the dashboard.",68
PASS_000017,KB_00017,REC_002,B008N7CCJY,Electronics,I have a friend who has a similar product and he showed it to me and I thought that was cool beings I have a older car that doesn't have that .Hooked it up and works GREAT and also you can get phone calls though your car speakers which is quite helpful with the Laws in my State you can't use a cell while driving and it solves that problem. I would recommend this product to anyone THANX AMAZON : ) !! Very Happy,84
PASS_000018,KB_00018,REC_002,B008N7CCJY,Electronics,"I liked it very much. The music playback is good and no interruptions heard. And also it charges the phone fast. I have an iphone and one android phone, it's working fine for both.",34
PASS_000019,KB_00019,REC_002,B008N7CCJY,Electronics,Works great. My granddaughters love listening to their favorite music in the car. The sound is great. Easy to use.,20
PASS_000020,KB_00020,REC_002,B008N7CCJY,Electronics,"Got this for my husband and he says it works great, better than the old one. Easy to use & read in the car.",24
PASS_000021,KB_00021,REC_003,B008VGQ4VO,Electronics,the sound is great if u are not moving. good for desk work or laying in bed listening to music. the cords DO make a noise when u move them. when i called klipsch to ask about the noise they said they never heard of that before. i doubt that but will be returning them more than likely. also they short out easily if ur ears get sweaty.,68
PASS_000022,KB_00022,REC_003,B008VGQ4VO,Electronics,"Same problem as before, a short in the line near the plug. I went online to see if others were having the same problem, and there were loads of complaints from consumers that were having the same exact issue. I'm saddened by the lack of quality in the S4 II headphones. I have come to expect better from Klipsch. I even recommended the original S4 headphones to anyone that would listen to my rants about their quality for the price.",80
PASS_000023,KB_00023,REC_003,B008VGQ4VO,Electronics,Comfortable earbuds but there's already a short the sound and I'd say I've had these about a month. Not too happy about that.,23
PASS_000024,KB_00024,REC_003,B008VGQ4VO,Electronics,"I purchased these headphones based on a Time article ([...]) comparing them in terms of cost and performance to the Beats by Dre Tour headphones. Unfortunately, the performance of the Klipsch headphones left a lot to be desired. While the headphones sounded very clear and crisp on the high end, the low end did not provide any appreciable bass. I tried some adjustments to the way the earbuds fit in the ear canal, but no luck on bass improvement.",79
PASS_000025,KB_00025,REC_003,B008VGQ4VO,Electronics,"After doing a huge amount of researches, l finally decided to choose klipsch s4ii. I was looking for sth that could provide me the best sound under $100. I was thinking about Bose, but most other people were saying that these were worth the money. I put them on....the mids and background details are really nice! however! the baas is kinda bad. I was pretty disappointed by that. Even those $20 earbuds have stronger baas than it does.",78
PASS_000026,KB_00026,REC_003,B008VGQ4VO,Electronics,Might be the best headphones on the market in this price range. Recommend these to anyone looking for quality earbuds.,20
PASS_000027,KB_00027,REC_003,B008VGQ4VO,Electronics,I recently bought these here and in my opinion....the new flat cord was a terrible idea....I had a pair before these with the round cord and they were great until they developed a short of course....unless you only listen motionless these new one's are worthless....the cord noise is so bad it's ridicules...why they would want to lose good customers like myself is a mystery to me...but they have....,68
PASS_000028,KB_00028,REC_003,B008VGQ4VO,Electronics,"There is also a lot of cord noise. I sit at my desk and listen to pandora, and have to take the headphones out because the cord noise becomes very distracting - the slightest shift is incredibly loud.3. The tip. The eartips were very soft in the original S4 and could be removed easily for cleaning. These tips are made of much stiffer plastic that is unpleasant to use for long periods.",72
PASS_000029,KB_00029,REC_003,B008VGQ4VO,Electronics,"I have had these for a year and i have mistreated them stuffed them at the bottom of backpacks with binders, left them on the floor of my room, and put them through the wash several time. They are seemingly indestructible, they sound just as amazing as they did on day one, i love these earphones and definitely recommend them to anyone else who has trouble taking good care of earbuds.",71
PASS_000030,KB_00030,REC_003,B008VGQ4VO,Electronics,I'm really surprised that there aren't more reviews to this effect- the sound is great but the cord noise completely negates this. I'm shocked that anyone uses these- even walking makes a ton of noise.,35
PASS_000031,KB_00031,REC_004,B00C53831I,Electronics,The memory was a perfect fit for my Dell desktop computers and I had no problem with installing the memory myself. I received my purchase ahead of time and you can not beat the price.,35
PASS_000032,KB_00032,REC_004,B00C53831I,Electronics,The memory I received was made in 2007. It passed the performance test with average scores on the old Dell I put it in. Works good and I'm satisfied. Three stars.... I save higher ratings for excellence.,37
PASS_000033,KB_00033,REC_004,B00C53831I,Electronics,"One needs to be careful in buying memory modules without the advice of the makers of these modules. If you know the exact nomenclature of the description (by a little research) of the modules you need, then it is safe to purchase same. These modules were just what I needed to expand the memory on my Dell desktop computer. Easy to install and ran my memory stress tests with no errors. A good buy at a bargain price.",78
PASS_000034,KB_00034,REC_004,B00C53831I,Electronics,"Ordered this a few days ago in order to replace some failing ram sticks, and to my surprise, the packaged arrived early! When I opened it, I thought to myself &#34;this is it, these will last me for a lifetime&#34;, and to my dismay, the ram sticks did NOT match at all! But the worst and most stressing part about this is that the new sticks did not work!",69
PASS_000035,KB_00035,REC_004,B00C53831I,Electronics,it works as advertized and i am happy with the purchase since it was much cheaper than at bestbuy and any other store locally,24
PASS_000036,KB_00036,REC_004,B00C53831I,Electronics,i ordered two matching sticks and got two different ones. according to CPU-Z one stick is PC2-5300 and the other is PC2-6400 both made by MELCO. although the 6400 stick will revert back to 5300 it kinda makes you wonder how this could happen. you get what you pay for i guess.,52
PASS_000037,KB_00037,REC_004,B00C53831I,Electronics,"great buy and very easy to install, works perfectly fine also. my PC is alot faster with more memory there was no need for me to get a new one just yet.",32
PASS_000038,KB_00038,REC_004,B00C53831I,Electronics,Went in smoothly after removing DVD drive. No problems as of now. Certainly improved performance of Slimline which had only a Gig originally.,23
PASS_000039,KB_00039,REC_004,B00C53831I,Electronics,Was the right memory for the right application. They shipped it out on time and it went in easy and the computer is working well.,25
PASS_000040,KB_00040,REC_004,B00C53831I,Electronics,"This memory passed the full test I applied and meets industry standards. Decent memory at a decent price, what else is there.",22
PASS_000041,KB_00041,REC_005,B006YVFGAS,Electronics,"I was a little worried that this antenna would be a waste of money, but I was wrong. After years of pixelation and moving my old rabbit ears around to try to get stations, I wanted to try something better. I have this going in to a digital converter box as I still have a tube TV. After messing around with the placement, I get more channels than before and I no longer have to worry about if where I sit in the room will affect my reception. Very good antenna!",91
PASS_000042,KB_00042,REC_005,B006YVFGAS,Electronics,"power, and with a new converter box scan I was able to somewhat pick up WTMV and its 2 sub-channels, 29-1, 29-2, and 29-3. It was VERY scrambled, and then I tried messing around with the placement of the antenna, and subsequent converter box scans couldn't pick that station up anymore.",51
PASS_000043,KB_00043,REC_005,B006YVFGAS,Electronics,"It has been years since I bought an antenna, and so, even with digital TV, I was a little skeptical. Setting it up where I wanted it to go served no issue whatsoever. I plugged in the antenna, positioned it with the help of the converter box, and found the ideal position. The picture is comparable to that of satellite, and I am really impressed. Not only can I watch the channels I want to watch, but I can also record any program with the best of quality.",88
PASS_000044,KB_00044,REC_005,B006YVFGAS,Electronics,Here in Ashford CT the rumor was we couldn't get any free to air stations. This antenna picks up 12-15 stations although I need to sit it in the window pointing West. Probably three of those channels come in maybe 60% of the time. Most of the channels are 30+ miles away with hills in the way and it still gets them.,62
PASS_000045,KB_00045,REC_005,B006YVFGAS,Electronics,This antenna did very poorly and was able only to get reception on 2 channels which formerly got 15 on old antenna .I would not recommend this product to anyone. I went back to old unit sold at Best Buy . It was a total waste of money.,48
PASS_000046,KB_00046,REC_005,B006YVFGAS,Electronics,I can put up with it.Be sure you buy the RIGHT Micron XG--apparently there is a UHF version and I think there is another version yet that comes without the amplifier. Even ClearStream's own website is confusing as to which version is which.And shop around--I paid about $40 too much. But it is still better than eating a $80 cable bill month after month.,64
PASS_000047,KB_00047,REC_005,B006YVFGAS,Electronics,"We don't care that we don't have popular cable TV channels, e.g. HBO, Food Network, CNN, ESPN etc., because we still can have other great alternations, especially the internet has so much fun to enjoy. The only thing we need to do is just to connect the TV and computer.This product outlook is gorgeour and simple. It does not look not good when we put it besides the small windown platform.",71
PASS_000048,KB_00048,REC_005,B006YVFGAS,Electronics,"I live in NYC and Time Warner has the monopoly in Manhattan. Local channels come in great with the exception of  channel 11. When using the amp u can get channel 11 and a few others as well. Also,my antenna box was opened and repacked  like it was a return. Not happy about that.",54
PASS_000049,KB_00049,REC_005,B006YVFGAS,Electronics,"Sometimes the cables not working too great so I switch to this Antenna and get all the channels I need, never miss a show",24
PASS_000050,KB_00050,REC_005,B006YVFGAS,Electronics,"I received the itme without the amplifier. Nevertheless, it still functions good. I received approximately 46 channeleven though I'm an average of 45 miles from most of the TV station's transmitters. Very good for an indoor antenna.",37
PASS_000051,KB_00051,REC_006,B00CGW74YU,Electronics,"These items arrived as promised, just ahead of a big weekend of chasing hot air balloons. The caps are spares, so I didn't need to use them, but I did snap on onto my lens and it appears to fit just fine and is made of heavy plastic...doesn't feel flimsy at all.The cap-keepers are wonderful! I really like the elastic to fit around the lens instead of hooking on to the strap anchor on the camera. It's much less in the way.",82
PASS_000052,KB_00052,REC_006,B00CGW74YU,Electronics,"I recently purchased a Nikon D5200 single lens reflex camera and am quite happy with it, except for one thing. The lens caps that came on the lenses have the brand name NIKON deeply embossed on the middle of the outward facing portion of the lens cap. Very good looking, but unfortunately because of that embossing it is impossible to have the adhesive that holds the lens cap to the elastic that goes around the lens adhere to the lens cap.",81
PASS_000053,KB_00053,REC_006,B00CGW74YU,Electronics,I love this product. The band fits great around the lens. No more worrying where to put the lens cap!,20
PASS_000054,KB_00054,REC_006,B00CGW74YU,Electronics,Many similar elastic band retainers have bee criticized for falling off various lens caps and that may be the result of insufficient pressure when installing them.,26
PASS_000055,KB_00055,REC_006,B00CGW74YU,Electronics,The caps arrived a timely manner and were appropriately packaged for shipment. They fit the lens as advertised and the elastic band does an excellent job of holding onto the lens barrel. Completely satisfied with the quality and price.,39
PASS_000056,KB_00056,REC_006,B00CGW74YU,Electronics,"I like tying the string to the lens cap through a small hole in the cap, rather than glueing a string holder to the front of the cap. To accomplish this one must connect the string to the cap, cut off the string holder from the stretchy part that goes around the lens, and then tie the two parts together. No big deal.",63
PASS_000057,KB_00057,REC_006,B00CGW74YU,Electronics,"How often have you lost a lens cap? I have many times so I bought several of these and they are great and easy to use, especially with the nifty keeper. Just slip the elastic band on the lens itself and stick the sticky end on the lens cover and off you go!",53
PASS_000058,KB_00058,REC_006,B00CGW74YU,Electronics,These caps for my lens are awesome! I love that attaching the part to the cap is easy and it stays. I LOVE the elastic part which goes on and then keeps my cap right where I need it while using my camera. I then can find my cap and am never worried that I can't find my cap. It's a must have!,63
PASS_000059,KB_00059,REC_006,B00CGW74YU,Electronics,"They have an elastic band that slips over the lens that is then attached to a nice little leash stuck to the cap. Those pesky lenses and their desire for freedom is now thwarted. And even if I happen to come across an extra crafty lens that some how gets loose, I have a few more in the package to take its place. They fit like the originals and I can't complain. Take that Lake Superior! You don't get any more of my caps!",84
PASS_000060,KB_00060,REC_006,B00CGW74YU,Electronics,"I just received the lens caps earlier this week and put them to good use immediately. These lens caps fit my lenses very well, as they will on any 58 mm lens. While I am not going to use the elastic band, I believe I will try to use the cords that come without the elastic. This seems a better fit for my needs.I will definitely recommend this product to a friend . . . but not an enemy.",79
PASS_000061,KB_00061,REC_007,B004HW6F9M,Electronics,i read all the reviews before i bought this and didnt see many bad ones. but i had to hear for myself. all i can say is holy crap. this thing is so small and sounds so huge. i have it in a 07 saturn vue running it with a pyramid 1000watt artic amp. if you need space and huuuuge sound buy this. buy it now!!!!!!!! !,67
PASS_000062,KB_00062,REC_007,B004HW6F9M,Electronics,I ordered this not really expecting this much sound out of such a small box. I had an old Hifonics 50 x 50 amp that connected in bridge mode. This thing is awesome! Much more bass than I need. You will not hear it unless you are sitting in the truck and then it rocks. Vibrates the rear view mirror and the seats.,63
PASS_000063,KB_00063,REC_007,B004HW6F9M,Electronics,"I have this laying in the trunk of my 2009 Civic. It takes up a small amount of space, but I can stack luggage on top if I need the space. The Pioneer GM-3500T amp driving it has plenty of power to drown out road noise on the freeway and rattle the trunk if I turn it up. Overall it is a great combination.",64
PASS_000064,KB_00064,REC_007,B004HW6F9M,Electronics,"It sounds great, I have it running through an ancient RF punch amp and it hits HARD. Granted its an older RF amp and they are SERIOUSLY underrated. Its a sealed enclosure, so it""s a quick,  solid hard hitting bass, rather than a really deep ultra low tone bass. It does need to break in and i feel that it will only get better after break in.",67
PASS_000065,KB_00065,REC_007,B004HW6F9M,Electronics,"Here's the review.While writing this I see the product title as Enclosure 800 Watts. Not sure if that is a mistake or what, but it is rated for 200 Watts. I am currently giving it 200 Watts (from a bridged RF 4 channel amp) and let me tell you, it will need no more. I've had sound systems that were insane in my younger days, so I know what to expect from a shallow mount 10&#34; sub. I was surprised.",80
PASS_000066,KB_00066,REC_007,B004HW6F9M,Electronics,"I was looking for a sub for my 2000 mustang ragtop to give me some bass when the top was down. Almost spent 600.00  plus at an electronics store, they said I would need a special setup to get bass. I read the reviews on this sub with the boss R1100M. Bought it, installed it, exceeded my expectations. Great sounding bass on the highway with the top down. The adjustable bass control that comes with the amp works great to adjust the sub to different music.",86
PASS_000067,KB_00067,REC_007,B004HW6F9M,Electronics,"For ""Maximum Bass"" I can fold the rear seats forward and then really have to lower the gain on the remote gain control for the Boss amp or I get way more bass than I need. Had to change the low bypass filter setting from 100db to 80db on the head unit to get a less muddled sounding low end and the 6 X 9's do such a good job with this setting that it sounds perfect. I have only had this running for two days now and it is really impressive.",92
PASS_000068,KB_00068,REC_007,B004HW6F9M,Electronics,"The two descriptions of the dimensions are different so I need to know the exact specifications of the length, width, and height. Somebody help!",24
PASS_000069,KB_00069,REC_007,B004HW6F9M,Electronics,"If you are look for a compact sub/box, this is the unit you need. I am not a person that likes a high amount of bass. This unit has enough bass anybody needs.",33
PASS_000070,KB_00070,REC_007,B004HW6F9M,Electronics,"I was able to remove the foam housing around the spare tire compartment and plant this thing in its place without any modification to the area. This thing thumps when you need it to and really helps bring in the lows that regular speakers can't produce, and because the subwoofer faces downward, you don't have to worry about damaging anything!",60
PASS_000071,KB_00071,REC_008,B00CAN8ETE,Electronics,Easy to plug into 30 pin socket and connect to Bluetooth devices. Volume is a bit low so need to crank up stereo then turn volume down for other sources.,30
PASS_000072,KB_00072,REC_008,B00CAN8ETE,Electronics,"I tried this in 2 different cars. My friend has a BMW, not sure model, and used an aftermarket converter to hook up his iphone. It works on his, but the controls don't work. Having the phone hooked up allowed for you to skip tracks, etc. That no longer works. So if you are looking for that functionality be warned, it May not work. But it still connects and works fine.I also installed one in my wifes car, honda accord. Same thing.",82
PASS_000073,KB_00073,REC_008,B00CAN8ETE,Electronics,"I tried this product with two different Sony bookshelf stereo systems and four different smart phones. It powered up and paired with each phone (iPhone 5, HTC One, and Samsung Galaxy), but it would not play any music through either stereo's speakers. I verified each docking station by directly connecting and playing music with an iPod. I returned the bluetooth adapter for a refund.",64
PASS_000074,KB_00074,REC_008,B00CAN8ETE,Electronics,"If I could, give this negative stars, I would. Not only did it not work (it just got super hot), when I plugged my iPod back in there was now a thumping noise, and it would no longer charge the iPod. I have one of those USA Spec adapters that hooks into my stereo. So while I was able to return the NAXA, I'm out $100 for the iPod adapter that I now have to replace. Super pissed about this thing.",81
PASS_000075,KB_00075,REC_008,B00CAN8ETE,Electronics,I thought this would work on my car. My car has a plugin for an ipod so i tried to use this so I can play music from my galaxy s2. Didn't work.,33
PASS_000076,KB_00076,REC_008,B00CAN8ETE,Electronics,"This thing never connected to any of my docks or with my car's 30pin cable. I sent it back and ordered the ViseeO Tune2Air WMA1000 which is more expensive, but works perfectly with every device I have and connects instantly in my car for A2DP Stereo Bluetooth music. Do yourself a favor and spend the extra money to get the ViseeO.",61
PASS_000077,KB_00077,REC_008,B00CAN8ETE,Electronics,"It has to be powered. Don't rate this thing bad because you plugged it in to your unpowered unit and it didn't work. You didn't read. That's your fault.So plug it in your powered dock/iphone aux for your car and turn on bluetooth. Go searching for the device and it should come up in a few seconds. The device automatically searches when it's powered on. You might have to enter four zeros as a password, but I did not.So now it works.",82
PASS_000078,KB_00078,REC_008,B00CAN8ETE,Electronics,This item works great! I have two of them. One for the office and the other one at my house.,20
PASS_000079,KB_00079,REC_008,B00CAN8ETE,Electronics,My old ipod/iphone Bluetooth received died so I needed another one.,11
PASS_000080,KB_00080,REC_008,B00CAN8ETE,Electronics,"I purchased this device for my motorcycle to connect to my iPhone wirelessly. It automaticly connects to my phone when I start the bike, and makes using Google Maps great. With this device I get turn-by-turn directions through my stereo, and never have to take my eyes off the road. Awesome! The only thing I don't like is the odd noises it makes through the stereo while it is connecting.",70
PASS_000081,KB_00081,REC_009,B0013V3CQY,Electronics,The system far exceeds my expectations. It is used to keep an eye on my 1/10th of a mile driveway in a rural area. I keep it connected to my TV and switch to it when the alarm sounds.I would recommend this to anyone having such a need.,48
PASS_000082,KB_00082,REC_009,B0013V3CQY,Electronics,"The LCD even has an option to scroll back and forth between the two.Cons:1) To record you do need to hook it up to a recording device. Sadly it does not record on its own which does limit it's helpfulness a bit.2) Sometimes when viewed on a larger TV, the screen can be a bit snowy. However it has never gotten nearly bad enough for me that I couldn't see what was going on outside.3)The camera does need to be sheltered when used outside.",84
PASS_000083,KB_00083,REC_009,B0013V3CQY,Electronics,"I was reluctant to buy this because of some of the reviews, but did so anyway and am glad I did. I also purchased an additional camera, which gives me coverage of my entire yard and front entrance. My cameras are not mounted far away from the receiver/monitor, so I get great reception and a crystal clear picture. I like that I can take the monitor to the back of my house, however the reception does get a little fuzzy the further away from the cameras.",86
PASS_000084,KB_00084,REC_009,B0013V3CQY,Electronics,This is the second monitor and camera that I have purchased and if another one is needed I will not hesitate to order the same one again. It is just what we need for our vewing. Easy to use.,39
PASS_000085,KB_00085,REC_009,B0013V3CQY,Electronics,"I love this little security camera. I bought it back in 2011 for $50 off Amazon.com from a seller. I mainly bought this to catch my sister&#8217;s ex boyfriend that stalks her constantly. I have yet to catch him, but I have caught many other crazy things outside with this camera. I attached it to my DVD recorder, so I can record for up to several hours non stop and catch anything I might miss.",75
PASS_000086,KB_00086,REC_009,B0013V3CQY,Electronics,"It views everything in a black and white picture, but does still have a picture whereas most cameras would just show black.3) The camera can and will record if and only if you hook it up to a VCR, DVD recorder, or some other recording device that works with AV cables.",51
PASS_000087,KB_00087,REC_009,B0013V3CQY,Electronics,"Even the manual will tell you that if the picture is not coming up clearly just adjust the cables and the monitor position so that it can get a clearer signal. I have also noticed that when I have the video stream running on my 20"" TV it can be a lot easier to view some of the smaller shapes.",60
PASS_000088,KB_00088,REC_009,B0013V3CQY,Electronics,"I haven&#8217;t had any issues with it. It&#8217;s on basically 24/7 and has been since I bought it. I have it outdoors and it works very well, even when it rains. Of course I have it in a spot under where hopefully no water will hit it. Just make sure you have somewhere to plug it in outside, I think you can get a rechargeable battery from GE as well for extra of course.",74
PASS_000089,KB_00089,REC_009,B0013V3CQY,Electronics,"We purchased this system in April as a baby monitor. We just recently started using it in the last month. We have used it 5 times and now there is no picture. We have tried the small troubleshooting guide and nothing works. I understand that amazon cannot refund everything but since our 30 days since purchase has passed we can only get a partial refund. Needless to say, I will start looking around before buying from amazon as well as GE.",81
PASS_000090,KB_00090,REC_009,B0013V3CQY,Electronics,"the video baby monitor transmitted a crystal clear picture and great sound. ...therefore, I PACKAGED THE GE CAMERA AND MONITOR UP AND RETURNED IT FOR A REFUND  :(not sure what we're going to get to replace this - would like something that can be placed outside - but the baby monitor worked so well, i may end up with one of those  ;-)sorry that i can't say anything good about this system.",72
PASS_000091,KB_00091,REC_010,B004JKBVBY,Electronics,"Before noticing the button, I had sent and resent the file multiple times thinking it wasn't working.It took two weeks to find the mythical software on the Polaroid site that allows you to print from your computer. You have to go to polaroid dot com /en/greylabel  That's where you find the software for your PC and android smartphones. If you don't have a cable to print from the computer, one is not supplied. It's a standard cable so I probably have one somewhere.",83
PASS_000092,KB_00092,REC_010,B004JKBVBY,Electronics,"You can have your professional printed at a lab, and use these for the road.-----After having it for a few weeks I wanted to update my review. The really frustrating thing about this product is apparently Polaroid has forgotten they make it (despite still selling it). You can't find the software on their website (it's hidden in a separate website, see above) and you can't find any support materials on the site either.",73
PASS_000093,KB_00093,REC_010,B004JKBVBY,Electronics,"My expectations were met regarding the picture quality considering the price I paid and the product description. I understood this product was trying to recreate original Polaroid instant photos when I bought it.Ultimately, I returned the GL10. I like Polaroid's concept regarding this printer. However, the printing jams and the poor user interface in both the PC and Android applications make this product unsatisfactory.",64
PASS_000094,KB_00094,REC_010,B004JKBVBY,Electronics,"I recently purchased the Portable GL10 Zink Printer from Amazon.com. I purchased the product in the view that it was a great idea and an extremely useful way of bringing back the old polaroid photograph style.However, whenever I downloaded the software from the Polaroid website which accompanies the printer, and decided to choose one of the overlaying filters for the photograph, my printer is no longer able to print the normal white border or any other filter.",77
PASS_000095,KB_00095,REC_010,B004JKBVBY,Electronics,"Usually I research my purchases pretty well. I must have read a glowing review of this and lost my mind a bit. To be fair, I don't think I was looking for a tiny tiny portable printer you can use in a bar (maybe). I just wanted a photo printer that was easy. For my wife. The thing that made me mad was how in the instructions it said visit the site forinfo on using printer with Mac and USB. I go there. Can't find anything.",86
PASS_000096,KB_00096,REC_010,B004JKBVBY,Electronics,"The first printer I got was DOA. Would not power up or connect no matter what I did. No help files, FAQ, drivers, anything really on Polaroid's page. So, I used Amazon's great return policy and just ordered a new one. 2nd one worked fine. But the instructions say ""get the GL10 application"". OK, where? I had to do some searching to find how to get to the link. Just bad support/design, in my opinion.",75
PASS_000097,KB_00097,REC_010,B004JKBVBY,Electronics,"I just received this today. I'm glad I checked it out before giving it to my husband. The printer would not connect to the computer. After waiting 25 minutes on hold with Polaroid they just told me to return it. Also, it's nearly impossible to find the link for the computer software on the website. Don't bother looking for any instructions online either. To connect to the computer you need a USB to USB cable. This is not supplied and they are hard to find.",85
PASS_000098,KB_00098,REC_010,B004JKBVBY,Electronics,"It is difficult to use. Admittedly, my frustration in navigating the app limited my use.Printer setup, including installing the battery, loading the photo paper, and installing the PC driver, was easy.The physical printing process is poor. The printer jammed 80% of the time (it jammed 4 times out of the 5 times I tried to print).The one photo I printed is best described as ""Polaroid instant film quality.""",68
PASS_000099,KB_00099,REC_010,B004JKBVBY,Electronics,"I had considerable difficulty finding the PC software for this device. It is located on the Polaroid website, but it is not easy to find. (Incidentally, it is located here: [...] ).The PC software has a poor user interface. When finding photos, the program's interface does not follow the Windows Explorer framework.",52
PASS_000100,KB_00100,REC_010,B004JKBVBY,Electronics,"If you try to connect with the USB, you will need drivers. The manual says you should go to the polaroid.com and download the software from there. Which I did but I couldn't find any. Maybe it's just me. Probably this minor thing it's going to be address in the near future (hey, I said 'outstanding', not 'perfect'!",58
PASS_000101,KB_00101,REC_011,B00CVK49LI,Electronics,"Great product! The color and contrast of the case looks really nice and it fits on the laptop well. The case snaps onto the laptop sides, the bottom one seems to be more sturdier though. Would definitely buy another one if I ever needed it (or maybe a different color). Very happy with the product.",55
PASS_000102,KB_00102,REC_011,B00CVK49LI,Electronics,I give up the second cover that was supposed to fit y Dell. Both were junk and they both would Not stay on my laptop.,25
PASS_000103,KB_00103,REC_011,B00CVK49LI,Electronics,Excellent fit to my Inspiron 15z and looks great. Now I don't have to worry about my laptop handled rough by my kids.,23
PASS_000104,KB_00104,REC_011,B00CVK49LI,Electronics,"Well it fits, I just wish that the hooks that hold it onto the lid of the laptop were a little more sturdy. It hasn't fallen off or broken but it looks a little fragile.",35
PASS_000105,KB_00105,REC_011,B00CVK49LI,Electronics,"I just got this today and immediately put it on my laptop. It was very easy- only took about twenty seconds to put it on and it looks great- even better than it looked in the online pictures. After going back and forth trying to decide between the color choices, I went with the aqua and it is very pretty, so I'm happy. The one nagging concern is that I'm wondering how to clean this thing.",76
PASS_000106,KB_00106,REC_011,B00CVK49LI,Electronics,inexpensive plastic cover works fine. Make break or become brittle in the future but great for the price. Very happy with this,22
PASS_000107,KB_00107,REC_011,B00CVK49LI,Electronics,"Fits my Dell Inspiron 15z Touch Ultrabook like a glove. Snapped right on and looks quite nice. It is see-through, but it looks kind of cool that way.",28
PASS_000108,KB_00108,REC_012,B0045ZZKOM,Electronics,"Choice was easy SB-700 cheapest unit now, seems to work ok, still learning the basic . I like it so far.",21
PASS_000109,KB_00109,REC_012,B0045ZZKOM,Electronics,This flash works perfectly. It has very good light power and can reach out for those long shots. It also is easy on the batteries permitting a lot of work before recharging.,32
