doc_id,record_id,qid,asin,category,source_file,review_text,n_words,source_field
KB_00013,REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,"I chose this rating because I feel that the apparatus does help with lung exercises. However, I would have preferred an apparatus with a ball or several balls in the them, something visual where I can see what my efforts are accomplishing. Difficult to assess with the Ultrabreathe.",48,review_snippets
KB_00014,REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,"I'm no doctor, so I'm only writing this as someone with breathing problems.Inhaling is mostly a passive function. So when you use this device, the muscles involved in inhaling are coaxed into being active. I can feel them working differently than they usually do, and it's quite a workout!It's analogous to the benefit that a really bulked-up football player gets when he stretches. Most of the time he's contracting his muscles, but it's important that he lengthen them, too.",79,review_snippets
KB_00015,REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,"I got my Ultrabreathe a few weeks ago and started using it as part of training for the NY marathon. I found it easy to use. I could feel that my breathing muscles were working harder. After a few times, I learned to breath out slower so I wouldn't build up too much oxygen from the deep inhaling. My only complaint is that saliva drips out of the device. Not a big problem, but I wish it had some kind of containment system.",83,review_snippets
KB_00016,REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,"A buddy of mine who's training for SF told me about this thing to help me train for the Army APFT to help with my run time. I used it for about a week and a half in conjunction with my run training and I feel like it really did help me develop stronger, deeper and more consistent breathing. I'd recommend using it if you're doing cardio training. I've found it helps to use before a workout to get a good breathing rhythm.",83,review_snippets
KB_00017,REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,I wish I had read the reviews before I purchased this item. It smells and leaves a weird taste in your mouth. It did help breathing but after 8 days i developed a very painful sore throat. I started to suspect the toxic smell and the vapors I was inhaling and quit using it immediately. I cut the mouthpiece off and trying to fix it so I can use it as the time has passed for me to return it. Don't use it with the mouthpiece as it may be toxic.,91,review_snippets
KB_00018,REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,I don't want to find out there's a recall and the fumes it gives off actually damages lungs. Makes me wonder what type of plastic is used. I really like the compact design so I will air it out for a while and hope that I can use it later.,50,review_snippets
KB_00019,REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,I had heard about this method of exercising the lungs and have to say I am very impressed with the simplicity and yet the exceptional results in ony a few days. Amazing.Since we receive about 90% of our energy from oxygen this is much more valuable to humans than most would believe.Thanks,52,review_snippets
KB_00020,REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,This item is worth the price. I had a sever bought of bronchitis and it has taken me forever to get my breath back . This item really gives your lungs a workout. I'm already starting to see some improvement.,40,review_snippets
KB_00021,REC_003,19949,B004XMVZVY,Toys_and_Games,train,when you throw at your friend you will hear the football whistling. light and durable. mine is already starting to come apart at the wings because hit the ground so much. but will not waist your money fun to play with.,41,review_snippets
KB_00022,REC_003,19949,B004XMVZVY,Toys_and_Games,train,the kids love this thing. it really helps them figure out throwing form and it whistles. good size for kids and adults,22,review_snippets
KB_00023,REC_003,19949,B004XMVZVY,Toys_and_Games,train,the football can throw really far but it has a very hard nose and hurts to catch it when it is thrown hard at all.,25,review_snippets
KB_00024,REC_003,19949,B004XMVZVY,Toys_and_Games,train,"it was a gift for someone else, he liked it. i think if the company makes them a littel bigger, closer to a regular size football the bigger kids can also enjoythem",32,review_snippets
KB_00025,REC_003,19949,B004XMVZVY,Toys_and_Games,train,"Who doesn't like to easily throw _anything_ 70+ yards! I've had a few of these over the years, and they keep getting better. Surprisingly durable. Anyone can pick it up and throw it much, much farther than they think. Easily. The whistling effect only makes it better, and quite frankly, makes it easier to hone in on to catch! Just as a heads up--the Nerf website says the MSRP is NINE BUCKS!",72,review_snippets
KB_00026,REC_003,19949,B004XMVZVY,Toys_and_Games,train,"We bought this to replace a previous Nerf Howler that had finally worn out. We bring this on vacation with us to the beach everytime we go. Not sure if it is meant for the water, but it seems to work great in the ocean or a lake. It is much smaller than a football and small children can throw it easily and far. Also works well in the wind and much easier to control than a frisbee on a crowded beach.",82,review_snippets
KB_00027,REC_003,19949,B004XMVZVY,Toys_and_Games,train,"Was a great overall toy to play with, very fun but I wish the black part on the back was a little more durable, mine ripped and I had to glue it back with super glue, great overall toy though.",40,review_snippets
KB_00028,REC_003,19949,B004XMVZVY,Toys_and_Games,train,This was great for my son for running around and he used it like a rocket ship rather than to play catch. He loves it.,25,review_snippets
KB_00029,REC_003,19949,B004XMVZVY,Toys_and_Games,train,This toy is great and I highly recommend it.,9,review_snippets
KB_00030,REC_003,19949,B004XMVZVY,Toys_and_Games,train,This made playing football on a 1/4 mile street WAY more fun. Not everyone can throw a football. I've never met anyone who can't throw one of these. When I had one as a kid it was called a vortex. Everyone had one and everyone loved em.I purchased this for a Non-Profits Toy Shop. Next year I plan on buying a case or 2. Gotta bring these back!,68,review_snippets
KB_00031,REC_004,40866,B0010WP46M,Electronics,train,"I got this frame for free, so I can't complain about the price. Now that I have it, I know that I wouldn't buy it.The remote is cheaply constructed and the battery doesn't sit well in it. To make it work I have to not only squeeze the right button, but squeeze the battery compartment to ensure a contact. Even then, it doesn't always work.Occasionally the frame forgets that I have a USB drive in it and starts to cycle through the stock photos it came with.",87,review_snippets
KB_00032,REC_004,40866,B0010WP46M,Electronics,train,"I spent a great deal of time on Amazon's website to look for digital photo frames. My requirements, were crisp picture, 7 inch screen, international power supply (110-220V), MP3 music playing during picture slideshow and below $70 USD. The Axion-9702 does it all. It came in a nice box (good gift), quality of product was great, and most important good decent pictures. The product is made in China but show me one that is not.",75,review_snippets
KB_00033,REC_004,40866,B0010WP46M,Electronics,train,"I made sure that it was not, it was planted very firmly onto my desk. But one day I came to work and my co-worker said that it just went out. I know it is my backlight because I can still see the photo's scroll across but they are VERY dark I can barely see it. I would return it but 1. my husband bought it and 2. I've already had it for a little over a month now and you cannot return it after so long.",87,review_snippets
KB_00034,REC_004,40866,B0010WP46M,Electronics,train,Got it as a gift - excellent purchase!Love all the features too...you get to add music to each picture if you want :-),23,review_snippets
KB_00035,REC_004,40866,B0010WP46M,Electronics,train,Most users in the reviews seem to be pretty much in the know of what they are doing and I trust their opinions on the CONS of this device. I'd strongly recommend taking the time and purchase one at WalMart.,40,review_snippets
KB_00036,REC_004,40866,B0010WP46M,Electronics,train,I bought this as a Christmas gift and it never worked at all. Would not even power on. Very sad and embarrassing. I wish I had spent the money on a more reliable name brand.,35,review_snippets
KB_00037,REC_004,40866,B0010WP46M,Electronics,train,"The Axion 7"" Digital Picture Frame is a real deal if you consider what you are getting for the money:* Good Size Display* Fairly Clear Display* MP3 Support (works well!",30,review_snippets
KB_00038,REC_004,40866,B0010WP46M,Electronics,train,"At first I was quite disappointed with the image quality, but after comparing it with more expensive digital picture frames, i have concluded that this is  good value for the money. The remote is handy and it works quite well.",40,review_snippets
KB_00039,REC_004,40866,B0010WP46M,Electronics,train,"Bought this for a gift...it worked pretty well right out of the box. The resolution isn't excellent, and the navigation's a little rough, but it does come with a remote. All in all a stylish frame for a cheap price so it's worth what you pay for it and not much more...",52,review_snippets
KB_00040,REC_004,40866,B0010WP46M,Electronics,train,And also comes with a remote and extra ports compatible with many digital cameras as well as the trusty USB port that I mentioned above. All-in-all... This is a great product and I would recommend it to anyone. 5 Stars! !,41,review_snippets
KB_00041,REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,I should have read the reviews.This product does not do a very good job of protecting your sink because the silverware easily falls between the slots and this item is very flimsy.,32,review_snippets
KB_00042,REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,"this is a simple sink rack that is fully functional, easy to clean and an excellent value. While there are heavier gauge products available, this does the trick for us.",30,review_snippets
KB_00043,REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,"thanks for an affordable, great quality product + fast shipping!",10,review_snippets
KB_00044,REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,"one of the welds broke on this sink protector less than a month after i bought it. sadly, it seems to be the only one out there that fits my particular sink (a large, single bowl elkay model). it was cheap - but you get what you pay for, i guess.",51,review_snippets
KB_00045,REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,"it fit my sink perfectly, looks great, but most importantly it can withstand tons of weight without breaking. i have a 1-piece rectangular deep sink, therefore, i can fit way more dishes in my sink than a regular 2-part sink. i had my sink full to the brim (with pots in there too) and this guy here, held up really well. no problems with it breaking.",66,review_snippets
KB_00046,REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,i was glad to find this extra large sink protector for use in our new kitchen. It protects both the sink and the dishes in our new sink that is more than 25 inches wide. The unit is sturdy and easy to keep clean.,44,review_snippets
KB_00047,REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,"i replaced a simplehuman rubber mat that had gotten disgustingly moldy with this. was a little concerned with the reviews about it breaking, but ive had mine for over a year now and have had absolutely no problems with it. fits nicely into the oversized sink in the old house that im renting. doesnt scratch up the sink since the feet are covered. looks clean and doesnt hide any gunk, easy to scrub, and has held up to me putting an assortment of pots and pans on top of it.",90,review_snippets
KB_00048,REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,[Update 1/2011 - Noticed being sold by a different company now.],11,review_snippets
KB_00049,REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,Your product works perfect for my large sink. Thank you for selling this larger size on amazon as not found locally,21,review_snippets
KB_00050,REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,"We love this product. We bought our first one three years ago and it has lasted this entire time without any problems or issues. We are ordering another one while they're still available, not because the one we have needs replacing. Now that we know they last for a very long time we want to make sure we have a replacement on hand as this was the only one we could find that was big enough for our sink! LOVE it!",81,review_snippets
KB_00051,REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,"Also, the firing mechanism jammed. So, even if you could get the string back to load it, the firing mechanism is jammed and won't take it. My son was devastated. Looking for a new one now.",36,review_snippets
KB_00052,REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,Additional issue is serious safety concern regarding retension of cocking string at rear of metal trigger housing-there is not one on the xbow! A quick fix would be to file a groove at the rear of this metal housing OR do as I did a buy a longer cocking string and load from the shoulder plate of the stock. The scope had to be replaced as it could not be sighted-in to hold any sort of consistent shooting pattern.,79,review_snippets
KB_00053,REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,Just what my son wanted. We have been looking for a bow for a while and this one was a great value and great quality.,25,review_snippets
KB_00054,REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,"I would have given this 5 star if it wasn't for the instructions, someone that doesn't know anything about crossbows might need assistance assembling it.",25,review_snippets
KB_00055,REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,Seems good. scope is small and for air rifles. It isnt the camo one it the picture at all. It is wood and black metal but seems sturdy.,28,review_snippets
KB_00056,REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,"She is in the process of purchasing a new string (100lbs).Another issue was the scope. It came in the shipping box along with the box that the bow was in. It does not have any instructions on how to put it on, nor does it come with any tools to do so.",52,review_snippets
KB_00057,REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,Love the crossbow! Came as advertised everything it said it would come with was there and nicely packaged. It will definitely take down a deer and you can't beat the craftsmanship of the bow for the price. Very pleased with it overall. Super easy to put together and string and it is for sure 150lb draw. I ordered it and paid a grand total of $111.99 (cost with 1-3 day expedited shipping) and received it 2 days after placing my order.,81,review_snippets
KB_00058,REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,I bought the crossbow for my husband for a surprise for hunting this year it came in early packed very good. It didn't have very good instructions on how to assemble but it was easy to figure out. It was sent with a scope but my husband didn't put it on it because you wouldn't have good vision through it later in the evening.,64,review_snippets
KB_00059,REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,"I purchased the 150 Lbs Camo Crossbow with Scope and Arrows for my husband for hunting season. He loves it and it works great! It was a great buy for the price and it came with some arrows. The only negative feedback was that the crossbow string was pretty difficult to get on, but other than that, we have no complaints about this crossbow!",64,review_snippets
KB_00060,REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,"good starter crossbow for target practice/sport/small game, not sure if it will do good for large game hunting?? must stock up on bolts and strings  also....not a bad investment tool is a Crossbow Double Handle Cocking Device",37,review_snippets
KB_00061,REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,It is ok but if it was electric it would of been better. To me it could have more power,20,review_snippets
KB_00062,REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,Needs more power I find the engine does not have enough grunt for my liking.,15,review_snippets
KB_00063,REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,My feet get calluses that crack and hurt. This thing sands them down in no time. Has good power and so far it's great!,24,review_snippets
KB_00064,REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,I was disappointed with this. Doesn't have enough power or battery life. I do however like being able to rinse the cylinder when needed.,24,review_snippets
KB_00065,REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,This workers wonders. The batteries last and it has power. Makes my heels feel so soft. I can wear saddles again and do not need to smoother my heels in Vaseline.,31,review_snippets
KB_00066,REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,"This product works well overall and the fact that it doesnt have blades makes it a lot safer than other products out there.However it is a little short on power, could be stronger",33,review_snippets
KB_00067,REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,At this point I wish I'd have paid the extra to get one with a power cord.Please note that the replacement cartridges are NOT cheap but the durability seems good.,30,review_snippets
KB_00068,REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,"Works great, smart design, easy to clean and seems rugged to last. Glad it doesn't have more grinding power; it would be too much against my skin. It seems to do its work fast all the same. Already seeing huge results. Very happy with the product and my purchase.",49,review_snippets
KB_00069,REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,"It works great on my scaly heels. It has enough power to do the job and about once every month or two I can quickly and easily get rid of my scaly, cracked looking heels. This really works good. So glad I bought it.",44,review_snippets
KB_00070,REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,It's not!!! Don't buy this version. Buy the one before this!! The other version has a better grip and gets to your calluses much better than this one. The sanding power is also different on this one and not nearly as effective. The other micro-pedi is absolutely amazing and I WILL buy it! Its an amazing product!,57,review_snippets
KB_00071,REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,"I haven't used my set very long yet, but they cook well so far, have a comfortable handle and  I love the glass lids which seem to have a good fit. They are also very easy to clean. I have been buying additional pieces to add to the original set of 8 . The box says that they can be washed in the dish washer but I hand wash them like I have done others in the past. so far....so good!",81,review_snippets
KB_00072,REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,"I love these pans. The fry pans do not come with lids, but most lids are interchangeable for these pans. Nothing sticks to them! They are very easy to wash. They heat evenly. I have ordered more. This seller also gets the product out quickly.",45,review_snippets
KB_00073,REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,One of the pot cover did not fit properly.Can't believe the handle fell off after a  month. I would not recommend.,21,review_snippets
KB_00074,REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,"I first discovered the Ecolution Artistry pans in my local grocery store. At that time, I was in need of a griddle pan, so I decided to purchase theirEcolution Artistry 11"" Griddle. I was attracted to the eco-friendly non-stick coating on these pans--they use a water-based, Hydrolon non-stick coating rather than traditional Teflon/PFOAs--and I admit, I also loved the cute green flower pattern on the bottom!",66,review_snippets
KB_00075,REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,Not spectacular. Not bad. Pretty decent little set of pans.I wish there was one slightly larger lid - but hey - no biggie.,23,review_snippets
KB_00076,REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,"I have used these pans daily for about  3 months and they are already showing signs of frequent use. Also, I only use wooden utensils and I always hand wash after I use them. They might last another couple months before the coating starts to peel and they have to be replaced.",52,review_snippets
KB_00077,REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,I love this set. Is it perfect. I hate when sets come with too much crap that just isn't needed. This set is the first real non-stick I've seen. Pans are great size so no need to buy an extra bigger pan.,42,review_snippets
KB_00078,REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,A little common sense goes a long way in taking care of anything. They are not heavy but the bottom is thick enough to give good heat distribution and the little stainless ring around the bottom helps with that also. I can recommend this set as a good mid priced set. Using plastic utensils will help preserve the finish as with any of the nonstick pans.,66,review_snippets
KB_00079,REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,I've had these pots and pans for 2 years and am just now seeing wear in my most used pan. I cook every night! I plan on ordering another set to use to slowly replace mine as they age. I love Teflon pans but hate the chemicals. These are the perfect alternative for those concerned with providing safe meals for our families.,62,review_snippets
KB_00080,REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,"We registered and received this set as well as the colassus pan as a wedding present in April. We bought a house with a glass top electric oven. Having our kitchen products be earth friendly is very important to me. Before use, I followed the directions and seasoned each pan. I have already had to re-season my pans at least three times and that is with using non-stick sprays when cooking.",71,review_snippets
KB_00081,REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,No more coming home to my return pump inhaling all that air. Works great for my 55 gallon with 10 gallon sump.,22,review_snippets
KB_00082,REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,"The biggest drawback to this unit is that it only has a single float switch sensor. Any minimal swell in my sump would kick the pump on, and off, and on, and off....all day and night. I replaced this unit with the 3155 with dual sensors, and have been much more pleased with performance.",54,review_snippets
KB_00083,REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,"Very easy to install. Simple attach the float sensor at the level of water with the strong magnets, drop the quiet and demure pump into you water top off container of your choice, plug it in, and you are off to the races! Why did I not get one of these months ago!?! ?Keeps a stable water level in the return chamber of my 20 gallon sump. I use a 5 gallon water transporting jug.",75,review_snippets
KB_00084,REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,Simple design and very effective. I like the auto shutoff feature that prevents pump damage or overflow of tank. This made tank maintenance so much better. BUY ONE!,28,review_snippets
KB_00085,REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,Pretty easy to setup and works as stated. I have a 5 gallon container under my tank that i fill up probably once every 1-2 weeks that it takes the RODI water from. Good quality German product.,37,review_snippets
KB_00086,REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,"This thing is a life saver!! Very accurate and easy to install. I was using a dosing pump before, I can't believe I waited this long to buy one of these. By far the best investment I've made for my tank.",41,review_snippets
KB_00087,REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,"This makes my life so much easier. My rimless 30 gallon tank loses almost 5 gallons of water through evaporation each week. Topping off with a bucket drove me nuts, now I can keep the bucket underneath the stand and my tank water level stays just where it should.",49,review_snippets
KB_00088,REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,I picked this up for my 30g cube tank and has come in handy from the start. It was easy to setup and works like a charm. I just drop the pump/sensor into a 5gal container with RO water and it keeps my tank filled to the exact mark I want and keeps the protein skimmer working perfectly.,58,review_snippets
KB_00089,REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,"I love this thing. It came off highly rated from others and I see why. I started out putting a little water in the tank every few days, now I just keep a bucket filled up and this keeps my tank at the exact right height. I also put kalkwasser in the bucket so it drips it in to help with calcium, magnesium and PH. Hasn't failed.",67,review_snippets
KB_00090,REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,Works perfectly! I've had it in use in my JBJ 30RL for almost a year with no issues. What more could you ask for?,24,review_snippets
KB_00091,REC_010,243248,B000GU3KHO,Automotive,train,Comes with a neat holding bag that it wraps up into relatively easily. A size XL fits my '94 Honda CB1000 without a windshield perfectly.,25,review_snippets
KB_00092,REC_011,265146,B008URGSWO,Home_and_Kitchen,train,"I still think it was a good idea to add our own padding, because that can be replaced as needed.I added two twin-size gel foam mattress pads (side by side and 1 1/2 inches thick). The open-cell polyurethane foam is infused with a gel and is definitely different than typical memory foam. On top of that I added this king size Extra Plush Bamboo Mattress Topper, and let me tell you that was the icing on the cake.",78,review_snippets
KB_00093,REC_011,265146,B008URGSWO,Home_and_Kitchen,train,"For one thing, it isn't thick enough to sag. I would estimate it as approximately 1.5 to 2"" thick, though the quilted construction makes it difficult to measure. When you lay on it, the loft compresses but does not collapse--meaning that it gives you softness and support, but runs none of the back-pain-inducing risks that we've experienced with thick memory foam mattresses and toppers.Unlike memory foam, the Downlite topper is not nearly as hot at night.",76,review_snippets
KB_00094,REC_011,265146,B008URGSWO,Home_and_Kitchen,train,"When this mattress pad arrived I was so pleased to find it to be as it was described, extra thick and it was. Now that I have used it for approximately one month it has already begun to flatten. Materials used were nice but it is not going to hold up as described. Very disappointed.",55,review_snippets
KB_00095,REC_011,265146,B008URGSWO,Home_and_Kitchen,train,"Had chemical smell which dissipated after airing for a few hours prior to use.The mattress pad is only 1"" thick, description says 2.5"" thick. Will have to purchase better thicker pad either to use in place or with this one. It may work well for back sleepers but not so much for me as a side sleeper.I try to support USA made but this is overpriced for a 1"" pad.",70,review_snippets
KB_00096,REC_011,265146,B008URGSWO,Home_and_Kitchen,train,"It is simply the Best mattress pad I have tried. We have a 2-3&#34; fiberfill down alternative topper that is not available any more. I thought could nothing could ever be as good. I was really  looking for a pad for the spare bed, assuming the fiberfill would be used on our bed. Comparing the two toppers side by side over the foam left no question. This is the winner over the down alternative fiberfill.",75,review_snippets
KB_00097,REC_011,265146,B008URGSWO,Home_and_Kitchen,train,"I was searching for just a mattress pad to protect our new Tempur Pedic mattress. Was not necessarily needing extra padding or softness, but when I read the reviews on this mattress pad and saw how much buyers loved it, I thought I would try it. It is everything the other reviewers say, the company is top notch, shipped to my hands in 2 days! And it is wonderful to lay on!",72,review_snippets
KB_00098,REC_011,265146,B008URGSWO,Home_and_Kitchen,train,"This is an awesome mattress topper. I haven't washed it yet, but it appears to be very well made. I'm anticipating this Made in teh USA mattress topper to hold up for many years to come! At about 1.5 to 2 inches thick, it adds the perfect soft yet supportive loft to my mattress. Get one. You won't regret it!",60,review_snippets
KB_00099,REC_011,265146,B008URGSWO,Home_and_Kitchen,train,"I tested this pad for 1-2 nights on two different weeks. After removing the pad from my bed, the back pain went away. So, I'd say for those who have back issues, be cautious about this pad. It does not provide proper support and can cause a hammock effect, leading to misalignment of the spine. At least it did for me.Secondly, this pad negated my cool-gel memory foam, causing my bed to heat up and become uncomfortably warm.",78,review_snippets
KB_00100,REC_011,265146,B008URGSWO,Home_and_Kitchen,train,Wasn't as thick as I'd hoped but it does seem to work very well with the heat issue from my very firm memory foam icomfort mattress. I did end up buying a cheep ($40) 1 1/2 inch mattress pad from Walmart and put this mattress pad on top of that and my bed is much more comfortable now and I don't sweat all night!,64,review_snippets
KB_00101,REC_011,265146,B008URGSWO,Home_and_Kitchen,train,Really like pad very thick. Nice though. The quality of the pad really impressed me. Not sure if it would fit an extra deep mattress though.,26,review_snippets
KB_00102,REC_012,307359,B000ST0184,Toys_and_Games,train,"Ever since I got my first X-Arcade almost 8 years ago, I've been in arcade game heaven. I decided to spring for the Tankstick because of the trackball along with the ability to use two joysticks for Smash TV, Robotron 2084, Total Carnage, etc.I'm planning to eventually add a spinner in place of the never used 8th button for player 1 (and perhaps player 2 eventually). This is an important point to bring up - you can mod these things!",80,review_snippets
KB_00103,REC_012,307359,B000ST0184,Toys_and_Games,train,"Here is my Day 1 Review. I opened this thing up and wow, it is impressive. My only knock on it was that it wasn't calibrated perfectly. The IT guys told me how to do it (which was actually fun knowing how it works, and DOESN'T VOID THE WARRANTY!) and now it works like a breeze. I will keep you posted how I like it as I move on!UPDATE: This thing is absolutely awesome!",74,review_snippets
KB_00104,REC_012,307359,B000ST0184,Toys_and_Games,train,"If you price out how much all of the buttons, sticks, and trackball cost separately, this is a bargain! If you make the jump, you will be satisfied!",28,review_snippets
KB_00105,REC_012,307359,B000ST0184,Toys_and_Games,train,"Overall, this is a pretty nice controller. It has most of the buttons that you will ever need. I would have liked perhaps just one more button in between the Player 1 & Player 2 buttons and calling it or labeling it a &#34;HOME&#34; button.My controller shipped with the Up direction on the Player 1 side being too sensitive. My character in Street Fighter would jump all the time even if you didn't touch the joystick.",76,review_snippets
KB_00106,REC_012,307359,B000ST0184,Toys_and_Games,train,I tried to use this on my PC and had a hard time calibrating it. I thought is was the size of a keyboard but this thing is pretty big and heavy. I'm going to try again soon and hopefully I'll have better luck.,44,review_snippets
KB_00107,REC_012,307359,B000ST0184,Toys_and_Games,train,The rest of the unit is MDF and feels ok.Tech support is terrible and the responses you will receive are short 1 sentence email replies if you get any at all. This is a common complaint across the forums.,39,review_snippets
KB_00108,REC_012,307359,B000ST0184,Toys_and_Games,train,"I see articles that Microsoft didn't license them to make Xbox 360 devices, so I wonder if an Xbox 360 adapter ever existed or ever will.Their web site is confusing. None of the links for Mac MAME games lead me to a MAME application that would install and work, so I think they should update their web site for Mac users with regards to MAME.They fail to mention that you NEED a PC2 Keyboard in order to program the keys. I've been to 4 stores and can't find one.",89,review_snippets
KB_00109,REC_012,307359,B000ST0184,Toys_and_Games,train,The Tankstick I purchased last week (directly through X-Arcade's website) is my 3rd joystick from them.,16,review_snippets
KB_00110,REC_012,307359,B000ST0184,Toys_and_Games,train,"I am so happy I got this, I now have the coolest home arcade ever. Changing to 5 stars!",19,review_snippets
