record_id,qid,asin,category,source_file,question,question_type,answerability,candidate_answers,golden_answer,evidence_text,evidence_doc_id,selection_method,needs_judge,golden_id,llm_judge_used,llm_judge_model,judge_confidence,verification_status,validation_status
REC_015,373806,B00ATDT83I,Cell_Phones_and_Accessories,train,Hello. I'd like to know if this cell phone works properly in Venezuela for DIGITEL.,descriptive,0,"[{'text': ""I don't have experience with DIGITEL, but if you have a Sim card for Venezuela or if your carrier allows you to roam in Venezuela, it should be fine. I had an issue with my phone, so I would recommend that you try it out for a couple of weeks before going to make sure that there aren't any problems."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'it works very well i would recommend thanks from Bahamas', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Hola Gerardo. Tienes que verificar que en la descripción del articulo diga que trabaja en 3G. Dentro de esas bandas trabajan con Digitel (850, 900, 1900, 2100).  Yo lo tengo con Movilnet y trabaja muy bien en zona de cobertura 3G Venezuela (en el teléfono lo pone en ""H"") que en Amazon indica 2G es decir bandas 850, 900, 1800, 1900. La clave es que para Movistar y Movilnet trabaja con la banda 1800 y para Digitel con la 2100. Saludos', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'si, y funciona con 3G', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_015,True,gemini-2.5-flash,1.0,judge,ok
REC_016,382025,B00394NT20,Health_and_Personal_Care,train,Is there a warranty?,descriptive,0,"[{'text': 'Yes.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""My wife has been using it for several months, and just loves it, but I don't remember anything about the warranty."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""Honestly, I didn't check at the time I opened it. However, it is extremely sturdy and absolutely the best shower stool I have ever used. None of the drawbacks of other stools I have tried. The swivel works well and can be locked down. It also moves easily and doesn't get dirty or rust."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""You know, if there is, I didn't save the paper work.  It is very sturdy.  Make sure you follow the step by step directions for putting it together."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I am not sure. It must have something at least 90 days. I use mine all the time and nothing has happened.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""I believe it has a one-year warranty.  It is very strudy and solid I wouldn't worry about using it.  I've used mind for over 1 1/2 years without incident."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_016,True,gemini-2.5-flash,1.0,judge,ok
REC_017,392984,B0056FL4FY,Beauty,train,"does not say if its an american or ueropean plug and ive ordered this before and got a ueropean plug, provide necessary info",descriptive,0,"[{'text': 'I got an American plug', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Totally agree! Not to mention it has an American plug in the picture.FALSE Advertisement!!', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_017,True,gemini-2.5-flash,1.0,judge,ok
REC_018,427509,B00154MGXY,Home_and_Kitchen,train,Is this item 35.43 inches at the very top or the body of the unit?,descriptive,0,"[{'text': 'The top... The body is about 33', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'Top is 35 1/2"" body is 32 1/2""', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'Top is wider than the body.  35 1/2 "" top and body is 32 1/2"".We find that the top is a great place to story items that don\'t fit in cabinets well.  We have our Food Saver there so that it is out of the way and the extra bags are up there too.  My wife really likes this unit so much that we now have 2 of them.  You have to tweak the doors a bit to get them level, but it is pretty easy.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'The unit is 35.43 inches at the very top of the unit, the body is 32.5 inches', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}]",[UNANSWERABLE],,,judge,True,G_018,True,gemini-2.5-flash,1.0,judge,ok
REC_019,475581,B000LQ5XW8,Musical_Instruments,train,"What does ""INTO 1 x 4 OHMS OR 2 x 8 OHMS"" mean?",descriptive,1,"[{'text': ""It's basically saying if you split it and run two channels you will split the power. I run it into a single channel 4x10 cabinet. Plenty loud with that. The lower the ohms the more power directed to the channel."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'On a 4 OHM output amp. You use one 4 Ohm speaker or two 8 OHM speakers. Example: One 8 OHM speaker + One 8 OHM speaker = 4 OHMs.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'This amp drives one 4 ohm cabinet, or two 8 ohm cabinets in series ( which equals 4 ohms total)', 'helpful': 0, 'unhelpful': 1, 'total': 1, 'jeffreys': 0.25}]",On a 4 OHM output amp. You use one 4 Ohm speaker or two 8 OHM speakers. Example: One 8 OHM speaker + One 8 OHM speaker = 4 OHMs.,"Having previously used a behringer BX3000T head with the bugera 410 cab,for 3 years... which was a beast of a setup in itself, I bought the BX4500H head wanting to be able to bi amp 2 bugera 410 cabs,Which are 4 ohms each and cant be powered by one head. The resulting stack of raw bass power is something to behold.",KB_00174,judge,True,G_019,True,gemini-2.5-flash,0.7,judge,ok
REC_020,486354,B00C9KUVWQ,Electronics,train,"Hi, I need an extra one for a different room. The picture looks like the one I need, however it only shows the cable to the computer. Does it come with the other cable that goes to the power plug in? Also, what does the info on the back of the adapter say as far as model and or power numbers-is it 19V 3.42A/50-60Hz 2.0A? Thank you.",descriptive,0,"[{'text': ""The adapter does come with the cord to plug into the wall. The cord to the computer is attached to the brick, so the whole thing is in two parts. The input values are 100-240 V/50-60 Hz/1.5 A, output is 19 V/4.74 A, and of course it's 90 W. There used to be a section of the ASUS site where you could check compatibility; you may want to search online for your exact notebook model number and compatible chargers. Hope this helps!"", 'helpful': 3, 'unhelpful': 0, 'total': 3, 'jeffreys': 0.875}, {'text': 'Hi, yes it comes with a power cord.  It is 19V DC, 50-60Hz, and 4.74A.Thanks, PCrush', 'helpful': 1, 'unhelpful': 1, 'total': 2, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_020,True,gemini-2.5-flash,1.0,judge,ok
REC_021,505028,B00E7O357A,Electronics,train,"hi, i have a skoda fabia II and i need to know if this radio is compatible with the sensor parking from factory",descriptive,0,"[{'text': 'Hi ,I really dont know how is work on Skoda because I used on a volkswagen jetta from2008.You can contact the seller and see.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes it is good to be installed only professional', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_021,True,gemini-2.5-flash,1.0,judge,ok
REC_022,519572,B0002D4QBE,Health_and_Personal_Care,train,what are the dimensions?,descriptive,0,"[{'text': '12"" round x 14"" + high...adjusts to height you may wish.  I set at 14"" and fits in rear of tub just fine.  Good Luck. I love this stool.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The diameter of the seat is 12 1/2 inches.  The legs form an approximate 14 1/2 inch square on the floor.  From opposite legs, the dimension is approximately 19 inches.  The tallest height when legs are completely extended is 21 inches.  I purchased this shower stool after back surgery and have been completely satisfied with the quality. It is lightweight and easy to move from place to place.  My shower stall is very small (just 32 x 32 inches) and it works in it. Hope this is helpful.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The seat is 12 inches across it.  I believe it adjusts from 14 inches tall to 21 inches tall.  I have mine at about 17 inches tall.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The seat is12inches round. The legs are adjustable from 14 inches up to 21 inches.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Amazon says ""Product Dimensions: 10 x 12.5 x 20 inches"" so you can make it stand about 20 inches high. The height is adjustable.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_022,True,gemini-2.5-flash,1.0,judge,ok
REC_023,529460,B0056XU5XS,Health_and_Personal_Care,train,Why don't any of the photos show the nutritional label so that you can read this important information?,descriptive,1,"[{'text': 'L-leucine 3000mgL-valine 2000mgL-isoleucine 1000mgThis product was produced in a facility that also process ingredients containing milk,egg,soybeans,sellfish,fish,tree nuts,wheat and peanuts. Thats the allergen warning written on the bottle.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""ITa pretty simple. 3000mg l-leucine, 2000mg l-valine, 1000mg l-isoleucine, the 3 bcaa's. Serving size is 8"", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""I'm really  not sure...but I Googled  that part and was able to read it...but if u like...I can take photos  of it for u and email them to you...my email is ozromero@yahoo.com ok....I highly recommend this product  if u workout a lot...especially if trying to build muscle. ..if the 3 months I been taking it I noticed muscle growth and definition"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","ITa pretty simple. 3000mg l-leucine, 2000mg l-valine, 1000mg l-isoleucine, the 3 bcaa's. Serving size is 8","muscle pharm makes good supplements, just be aware that a dose is 8 caps. not an issue for me but some people don't like taking a ton of pills during the day. recommended for the gains.",KB_00209,judge,True,G_023,True,gemini-2.5-flash,1.0,judge,ok
REC_024,546474,B005MQRAXM,Baby,train,"how is the seat fabric?  we have a britax, and my son sweats so much when in it.",descriptive,0,"[{'text': ""Our son sweat a lot in his Britax B-Safe infant seat, but we have had this seat for about 9 months and haven't noticed any issues."", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""It depends on the material. they have 3-4 different types. I've had the Storm and the Nitro, the nitro was a mesh material. The storm is more like soft cotton. Not much sweat in either but mine sweat so easily."", 'helpful': 3, 'unhelpful': 1, 'total': 4, 'jeffreys': 0.7}]",[UNANSWERABLE],,,judge,True,G_024,True,gemini-2.5-flash,1.0,judge,ok
REC_025,612780,B007W69P7E,Automotive,train,"It sounds like this will fit a 2013 4Runner, but does it void the warranty?  It shouldn't, as it's a Toyota part.  Also what is the HP increase?",descriptive,1,"[{'text': 'No, this only applies to the 2010-2011 4Runner V6 & 2010-2011 FJ Cruiser V6', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Your warranty will be fine. Helps breath a bit better. Will add some motor noise as well. I saw maybe a mile increase at most.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",Your warranty will be fine. Helps breath a bit better. Will add some motor noise as well. I saw maybe a mile increase at most.,"Excellent product! It must be trd Toyota racing development, i hope to buy another truco for buy another trd intanke",KB_00218,judge,True,G_025,True,gemini-2.5-flash,0.7,judge,ok
REC_026,626205,B005G59WP8,Musical_Instruments,train,Is the brain capable of reproducing different stick velocities (Dynamics) or is the same volume produced no matter how hard you hit pads?,descriptive,1,"[{'text': 'I personally have never tried this, but, according to the user manual, you can set the brain to have dynamic response to the drum sticks.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""it's pretty close to a reptilian brain that is inexpensive. The volume is pretty much the same no matter how hard you hit it. If you're looking for that kind of dynamic velocity you really need a more expensive kit or at least replace the brain with a better one."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""It's the same sound no matter how hard you hit it."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""The dynamics are quite good. I haven't had to adjust them at all, but you can. If you are a drummer already, you can adapt to these very easily. I'm getting a 300 watt amp for them and totally trust them for gigs I'm doing next month. If others are having issues with velocity sensitivity, I can't comment on that. My set works great. I've been drumming for over 40 years. This set does a great job for me. Espescially 3 and 27."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",it's pretty close to a reptilian brain that is inexpensive. The volume is pretty much the same no matter how hard you hit it. If you're looking for that kind of dynamic velocity you really need a more expensive kit or at least replace the brain with a better one.,"The module does not lend to the sensitivity of the pads I constantly get a lot of misses. For better sounding drums you should connect it to some software like battery, however that still does not solve the brain issue. I am looking at a V-drum module. Very costly but might be worth it to improve this kit.",KB_00224,judge,True,G_026,True,gemini-2.5-flash,0.9,judge,ok
